table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
12266,r001,All business activities,All business activities,,1,21100–81000,"['799,154', '  ']"
12266,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['524', '  ']"
12266,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['158', 'i ']"
12266,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['882', 'i ']"
12266,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['D', '  ']"
12266,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['752', '  ']"
12266,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['7,646', '  ']"
12266,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['894', '  ']"
12266,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['990', '  ']"
12266,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['688', '  ']"
12266,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['340', '  ']"
12266,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,637', '  ']"
12266,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['398', '  ']"
12266,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['558', '  ']"
12266,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['D', '  ']"
12266,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['319', '  ']"
12266,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['4,019', '  ']"
12266,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,833', '  ']"
12266,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['1,874', '  ']"
12266,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['88,109', '  ']"
12266,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['2,198', '  ']"
12266,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['69,445', '  ']"
12266,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['3,461', '  ']"
12266,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,780', '  ']"
12266,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['4,108', '  ']"
12266,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,582', '  ']"
12266,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['455', '  ']"
12266,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['1,270', '  ']"
12266,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['3,916', '  ']"
12266,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['2,848', '  ']"
12266,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,910', '  ']"
12266,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['1,552', '  ']"
12266,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['7,051', '  ']"
12266,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,516', '  ']"
12266,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['D', '  ']"
12266,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['2,980', '  ']"
12266,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['238', '  ']"
12266,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['3,143', '  ']"
12266,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['3,393', '  ']"
12266,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['37,324', '  ']"
12266,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['10,509', '  ']"
12266,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['4,422', '  ']"
12266,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['811', '  ']"
12266,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['2,118', '  ']"
12266,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['72,075', '  ']"
12266,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['5,440', '  ']"
12266,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['3,235', '  ']"
12266,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['6,357', '  ']"
12266,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['7,834', '  ']"
12266,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['31,676', '  ']"
12266,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['218', '  ']"
12266,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['9,299', '  ']"
12266,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['5,475', '  ']"
12266,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['2,751', '  ']"
12266,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['2,082', '  ']"
12266,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['2,755', '  ']"
12266,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['330', '  ']"
12266,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['281', '  ']"
12266,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['506', '  ']"
12266,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['429', 'i ']"
