table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_obligations_2022,field_obligations_2023_preliminary_,field_outlays_2022,field_outlays_2023_preliminary_
10837,r001,All agencies,All agencies,,,,,1,6173332,6520860,4184640,5705619
10837,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,
10837,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,179440,58275,109460,133275
10837,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,170061,42000,100081,117000
10837,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,9379,16275,9378,16275
10837,r006,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,379425,1252736,402451,640563
10837,r007,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,96158,198424,184951,149063
10837,r008,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,281767,1052812,216000,490000
10837,r009,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,1500,1500,1500,1500
10837,r010,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,255660,356552,251464,263679
10837,r011,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,130765,269778,164182,223656
10837,r012,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,62776,75905,25638,31000
10837,r013,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,62118,10869,61644,9024
10837,r014,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,4279970,3479651,2607617,3140263
