table_id,row_id,broad_field_and_academic_level_full_path,broad_field_and_academic_level_level_1,broad_field_and_academic_level_level_2,broad_field_and_academic_level_level_3,broad_field_and_academic_level_level_4,broad_field_and_academic_level_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5779,r001,All fields,All fields,,,,1,,,,,,,,,
5779,r002,All fields -> All levels,All fields,All levels,,,2,635120,675620,749580,778920,842480,811100,804420,781950,604700
5779,r003,All fields -> All levels -> Undergraduate,All fields,All levels,Undergraduate,,3,350550,373120,407100,417530,452180,442210,435270,418660,314560
5779,r004,All fields -> All levels -> Graduate,All fields,All levels,Graduate,,3,284570,302490,342480,361380,390300,368890,369150,363290,290140
5779,r005,All fields -> S&E fields,All fields,S&E fields,,,2,,,,,,,,,
5779,r006,All fields -> S&E fields -> All levels,All fields,S&E fields,All levels,,3,278970,306400,356730,385370,421470,407150,413030,405700,325820
5779,r007,All fields -> S&E fields -> All levels -> Undergraduate,All fields,S&E fields,All levels,Undergraduate,4,116060,130300,148100,158170,176960,177380,179440,174920,137620
5779,r008,All fields -> S&E fields -> All levels -> Graduate,All fields,S&E fields,All levels,Graduate,4,162920,176100,208630,227200,244510,229770,233600,230770,188200
5779,r009,All fields -> Non-S&E fields,All fields,Non-S&E fields,,,2,,,,,,,,,
5779,r010,All fields -> Non-S&E fields -> All levels,All fields,Non-S&E fields,All levels,,3,356000,369150,392810,393520,421000,403950,391380,376250,278880
5779,r011,All fields -> Non-S&E fields -> All levels -> Undergraduate,All fields,Non-S&E fields,All levels,Undergraduate,4,234350,242770,258960,259350,275210,264830,255830,243730,176930
5779,r012,All fields -> Non-S&E fields -> All levels -> Graduate,All fields,Non-S&E fields,All levels,Graduate,4,121650,126380,133850,134180,145790,139120,135560,132520,101940
