table_id,row_id,organization_and_program_by_fy_2021_rank_order_full_path,organization_and_program_by_fy_2021_rank_order_level_1,organization_and_program_by_fy_2021_rank_order_level_2,organization_and_program_by_fy_2021_rank_order_level_3,organization_and_program_by_fy_2021_rank_order_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10443,r001,R&D and R&D plant,R&D and R&D plant,,,1,43817,46635,47976,6.4,2.9
10443,r002,R&D and R&D plant -> National Cancer Institute,R&D and R&D plant,National Cancer Institute,,2,6784,7177,7658,5.8,6.7
10443,r003,R&D and R&D plant -> National Institute of Allergy and Infectious Diseases,R&D and R&D plant,National Institute of Allergy and Infectious Diseases,,2,6212,6446,6445,3.8,0.05
10443,r004,R&D and R&D plant -> National Institute on Aging,R&D and R&D plant,National Institute on Aging,,2,4155,4332,4331,4.3,0.05
10443,r005,"R&D and R&D plant -> National Heart, Lung, and Blood Institute",R&D and R&D plant,"National Heart, Lung, and Blood Institute",,2,3675,3842,3841,4.6,0.05
10443,r006,R&D and R&D plant -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,National Institute of Neurological Disorders and Stroke,,2,2560,2758,2772,7.7,0.5
10443,r007,R&D and R&D plant -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,National Institute of Diabetes and Digestive and Kidney Diseases,,2,2130,2223,2222,4.4,0.05
10443,r008,R&D and R&D plant -> National Institute of Mental Health,R&D and R&D plant,National Institute of Mental Health,,2,2161,2279,2476,5.4,8.7
10443,r009,R&D and R&D plant -> Office of the Director,R&D and R&D plant,Office of the Director,,2,2093,2320,2388,10.9,2.9
10443,r010,R&D and R&D plant -> National Institute of General Medical Sciences,R&D and R&D plant,National Institute of General Medical Sciences,,2,1722,1762,1215,2.3,-31.0
10443,r011,R&D and R&D plant -> National Institute of Child Health and Human Development,R&D and R&D plant,National Institute of Child Health and Human Development,,2,1633,1693,1692,3.7,0.05
10443,r012,R&D and R&D plant -> National Institute on Drug Abuse,R&D and R&D plant,National Institute on Drug Abuse,,2,1559,1624,1623,4.2,0.05
10443,r013,R&D and R&D plant -> National Center for Advancing Translational Sciences,R&D and R&D plant,National Center for Advancing Translational Sciences,,2,848,885,884,4.3,-0.1
10443,r014,R&D and R&D plant -> National Eye Institute,R&D and R&D plant,National Eye Institute,,2,847,878,878,3.7,0.05
10443,r015,R&D and R&D plant -> National Institute of Environmental Health Sciences,R&D and R&D plant,National Institute of Environmental Health Sciences,,2,813,882,906,8.5,2.7
10443,r016,R&D and R&D plant -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,2,634,660,659,4.2,-0.1
10443,r017,R&D and R&D plant -> National Human Genome Research Institute,R&D and R&D plant,National Human Genome Research Institute,,2,620,643,643,3.7,0.05
10443,r018,R&D and R&D plant -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,National Institute on Alcohol Abuse and Alcoholism,,2,555,576,576,3.8,0.05
