table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
9946,r001,United States<sup>a</sup>,United States<sup>a</sup>,,,1,696624562,311066576,348675628,6284071,12340267,15884092,2373928
9946,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,,2,12081222,5924342,5991928,24878,140074,0,0
9946,r003,"United States<sup>a</sup> -> Alabama -> Education, Department of",United States<sup>a</sup>,Alabama,"Education, Department of",3,4918832,1388779,3530053,0,0,0,0
9946,r004,"United States<sup>a</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>a</sup>,Alabama,"Forensic Sciences, Department of",3,208094,0,208094,0,0,0,0
9946,r005,United States<sup>a</sup> -> Alabama -> Geological Survey,United States<sup>a</sup>,Alabama,Geological Survey,3,3563032,1673936,1774928,24878,89290,0,0
9946,r006,"United States<sup>a</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>a</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3391264,2861627,478853,0,50784,0,0
9946,r007,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,,2,11600345,3986600,4552345,3061400,0,0,0
9946,r008,"United States<sup>a</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>a</sup>,Alaska,"Environmental Conservation, Department of ",3,59405,36974,22431,0,0,0,0
9946,r009,"United States<sup>a</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>a</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,9216400,1741400,4413600,3061400,0,0,0
9946,r010,United States<sup>a</sup> -> Alaska -> Railroad Corporation,United States<sup>a</sup>,Alaska,Railroad Corporation,3,1868960,1843762,25198,0,0,0,0
9946,r011,"United States<sup>a</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>a</sup>,Alaska,"Transportation and Public Facilities, Department of",3,455580,364464,91116,0,0,0,0
9946,r012,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,,2,2039798,1373027,666771,0,0,0,0
9946,r013,United States<sup>a</sup> -> Arizona -> Game and Fish Department,United States<sup>a</sup>,Arizona,Game and Fish Department,3,950977,950977,0,0,0,0,0
9946,r014,"United States<sup>a</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>a</sup>,Arizona,"Juvenile Corrections, Department of ",3,561258,0,561258,0,0,0,0
9946,r015,"United States<sup>a</sup> -> Arizona -> Transportation, Department of",United States<sup>a</sup>,Arizona,"Transportation, Department of",3,527563,422050,105513,0,0,0,0
9946,r016,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,,2,220653,72026,148627,0,0,0,0
9946,r017,United States<sup>a</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>a</sup>,Arkansas,Natural Heritage Commission,3,154039,18735,135304,0,0,0,0
9946,r018,"United States<sup>a</sup> -> Arkansas -> Transportation, Department of",United States<sup>a</sup>,Arkansas,"Transportation, Department of",3,66614,53291,13323,0,0,0,0
9946,r019,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,,2,87712398,4297472,83243088,171838,0,0,0
9946,r020,United States<sup>a</sup> -> California -> Air Resources Board,United States<sup>a</sup>,California,Air Resources Board,3,10750232,0,10750232,0,0,0,0
9946,r021,United States<sup>a</sup> -> California -> Children and Families Commission (First 5 California),United States<sup>a</sup>,California,Children and Families Commission (First 5 California),3,482323,0,482323,0,0,0,0
9946,r022,"United States<sup>a</sup> -> California -> Conservation, Department of",United States<sup>a</sup>,California,"Conservation, Department of",3,838198,397213,440985,0,0,0,0
9946,r023,United States<sup>a</sup> -> California -> Earthquake Authority,United States<sup>a</sup>,California,Earthquake Authority,3,537832,0,537832,0,0,0,0
