table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10807,r001,Department of Defense,Department of Defense,,,,,1,,,,,,,,
10807,r002,Department of Defense -> RDT&E,Department of Defense,RDT&E,,,,2,139019,36855,4151,89410,5879,2351,28,345
10807,r003,Department of Defense -> RDT&E -> Total research,Department of Defense,RDT&E,Total research,,,3,11933,4260,929,3049,2981,615,20,78
10807,r004,Department of Defense -> RDT&E -> Total research -> Basic research,Department of Defense,RDT&E,Total research,Basic research,,4,3541,737,166,542,1769,265,19,43
10807,r005,Department of Defense -> RDT&E -> Total research -> Applied research,Department of Defense,RDT&E,Total research,Applied research,,4,8392,3524,763,2507,1211,350,2,35
10807,r006,Department of Defense -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,RDT&E,Total experimental development<sup>c</sup>,,,3,76932,28092,2177,42259,2548,1598,7,251
10807,r007,Department of Defense -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,,4,13253,4644,585,5224,1552,1095,2,150
10807,r008,Department of Defense -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,RDT&E,Total experimental development<sup>c</sup>,Major systems,,4,63679,23448,1591,37035,996,503,5,101
10807,r009,Department of Defense -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,RDT&E,Total operational system development<sup>d</sup>,,,3,50155,4503,1045,44102,350,138,0,16
10807,r010,Department of Defense -> Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency,,,,2,,,,,,,,
10807,r011,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,,,3,4191,318,187,2723,745,186,1,30
10807,r012,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,,4,2194,120,122,1132,620,174,1,25
10807,r013,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Basic research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Basic research,5,517,18,28,166,237,57,0,12
10807,r014,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Applied research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Applied research,5,1677,102,94,966,383,118,1,13
10807,r015,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>c</sup>,,4,1996,198,65,1591,126,12,0,5
