table_id,row_id,race_and_ethnicity,matches,match_rate
9384,r001,White,7458,35
9384,r002,Asian,4890,40
9384,r003,Hispanic or Latino,729,28
9384,r004,Black or African American,329,25
9384,r005,Ethnicity not reported,1126,29
9384,r006,More than one race,308,41
9384,r007,Other race or race not reported,129,32
9384,r008,Total,14969,36
