table_id,row_id,field_of_study_and_citizenship_status_full_path,field_of_study_and_citizenship_status_level_1,field_of_study_and_citizenship_status_level_2,field_of_study_and_citizenship_status_level_3,field_of_study_and_citizenship_status_hierarchy_depth,field_1987,field_1992,field_1997,field_2002,field_2007,field_2012,field_2017
955,r001,All fields,All fields,,,1,32365,38886,42539,40031,48132,50944,54664
955,r002,All fields -> U.S. citizen or permanent resident,All fields,U.S. citizen or permanent resident,,2,24585,28005,31097,27737,29501,32981,35791
955,r003,All fields -> Temporary visa holder,All fields,Temporary visa holder,,2,5660,9980,9194,9747,15123,14784,16323
955,r004,All fields -> Unknown,All fields,Unknown,,2,2120,901,2248,2547,3508,3179,2550
955,r005,All fields -> Life sciences<sup>a</sup>,All fields,Life sciences<sup>a</sup>,,2,5783,7172,8421,8478,10702,11964,12592
955,r006,All fields -> Life sciences<sup>a</sup> -> U.S. citizen or permanent resident,All fields,Life sciences<sup>a</sup>,U.S. citizen or permanent resident,3,4529,5106,5987,5850,7009,8184,8857
955,r007,All fields -> Life sciences<sup>a</sup> -> Temporary visa holder,All fields,Life sciences<sup>a</sup>,Temporary visa holder,3,939,1956,2058,2121,3039,3197,3329
955,r008,All fields -> Life sciences<sup>a</sup> -> Unknown,All fields,Life sciences<sup>a</sup>,Unknown,3,315,110,376,507,654,583,406
955,r009,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3811,4517,4550,3875,4956,5419,6081
955,r010,All fields -> Physical sciences and earth sciences -> U.S. citizen or permanent resident,All fields,Physical sciences and earth sciences,U.S. citizen or permanent resident,3,2657,2857,3034,2358,2567,3148,3717
955,r011,All fields -> Physical sciences and earth sciences -> Temporary visa holder,All fields,Physical sciences and earth sciences,Temporary visa holder,3,929,1572,1297,1330,2059,1959,2156
955,r012,All fields -> Physical sciences and earth sciences -> Unknown,All fields,Physical sciences and earth sciences,Unknown,3,225,88,219,187,330,312,208
955,r013,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1189,1927,2032,1729,3042,3496,3843
955,r014,All fields -> Mathematics and computer sciences -> U.S. citizen or permanent resident,All fields,Mathematics and computer sciences,U.S. citizen or permanent resident,3,673,997,1150,868,1241,1627,1746
955,r015,All fields -> Mathematics and computer sciences -> Temporary visa holder,All fields,Mathematics and computer sciences,Temporary visa holder,3,445,876,771,789,1591,1617,1931
955,r016,All fields -> Mathematics and computer sciences -> Unknown,All fields,Mathematics and computer sciences,Unknown,3,71,54,111,72,210,252,166
955,r017,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6063,6562,7369,6925,7309,8498,9079
955,r018,All fields -> Psychology and social sciences -> U.S. citizen or permanent resident,All fields,Psychology and social sciences,U.S. citizen or permanent resident,3,4846,5189,5796,5363,5272,6319,6874
955,r019,All fields -> Psychology and social sciences -> Temporary visa holder,All fields,Psychology and social sciences,Temporary visa holder,3,726,1158,1080,1110,1482,1601,1680
955,r020,All fields -> Psychology and social sciences -> Unknown,All fields,Psychology and social sciences,Unknown,3,491,215,493,452,555,578,525
955,r021,All fields -> Engineering,All fields,Engineering,,2,3712,5438,6114,5081,7749,8469,9843
955,r022,All fields -> Engineering -> U.S. citizen or permanent resident,All fields,Engineering,U.S. citizen or permanent resident,3,1915,2521,3333,2169,2546,3579,4339
955,r023,All fields -> Engineering -> Temporary visa holder,All fields,Engineering,Temporary visa holder,3,1539,2749,2555,2650,4591,4355,5070
955,r024,All fields -> Engineering -> Unknown,All fields,Engineering,Unknown,3,258,168,226,262,612,535,434
955,r025,All fields -> Education,All fields,Education,,2,6453,6677,6577,6508,6448,4803,4823
955,r026,All fields -> Education -> U.S. citizen or permanent resident,All fields,Education,U.S. citizen or permanent resident,3,5665,6018,5748,5417,5358,4040,4047
955,r027,All fields -> Education -> Temporary visa holder,All fields,Education,Temporary visa holder,3,430,559,411,479,601,460,536
955,r028,All fields -> Education -> Unknown,All fields,Education,Unknown,3,358,100,418,612,489,303,240
955,r029,All fields -> Humanities and arts,All fields,Humanities and arts,,2,3478,4387,5285,5297,5085,5561,5290
955,r030,All fields -> Humanities and arts -> U.S. citizen or permanent resident,All fields,Humanities and arts,U.S. citizen or permanent resident,3,2929,3745,4452,4320,3894,4434,4290
955,r031,All fields -> Humanities and arts -> Temporary visa holder,All fields,Humanities and arts,Temporary visa holder,3,282,542,561,705,797,761,693
955,r032,All fields -> Humanities and arts -> Unknown,All fields,Humanities and arts,Unknown,3,267,100,272,272,394,366,307
955,r033,All fields -> Other<sup>b</sup>,All fields,Other<sup>b</sup>,,2,1876,2206,2191,2138,2841,2734,3113
955,r034,All fields -> Other<sup>b</sup> -> U.S. citizen or permanent resident,All fields,Other<sup>b</sup>,U.S. citizen or permanent resident,3,1371,1572,1597,1392,1614,1650,1921
955,r035,All fields -> Other<sup>b</sup> -> Temporary visa holder,All fields,Other<sup>b</sup>,Temporary visa holder,3,370,568,461,563,963,834,928
955,r036,All fields -> Other<sup>b</sup> -> Unknown,All fields,Other<sup>b</sup>,Unknown,3,135,66,133,183,264,250,264
