table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_dod,field_doe,field_nasa,field_nih,field_dhs,field_dot,field_epa,field_nsf,field_all_other_agencies
6585,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['21,941', '']","['15,141', '']","['519', '']","['4,534', 'i']","['519', '']","['124', '']","['30', '']","['1', '']","['8', '']","['1,064', '']"
6585,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['16,023', 'i']","['11,174', '']","['266', '']","['3,905', 'i']","['84', '']","['96', '']","['7', '']","['1', '']","['1', '']","['489', '']"
6585,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['*', 'i']","['0', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['7', 'i']","['3', '']","['0', '']","['4', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', 'i']","['0', '']","['*', 'i']","['0', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['*', 'i']","['0', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['289', '']","['61', '']","['10', '']","['*', '']","['63', '']","['82', '']","['0', '']","['0', '']","['0', '']","['74', '']"
6585,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2', 'i']","['0', '']","['0 - 3', 'i']","['0', '']","['0 - 3', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['*', 'i']","['0', '']","['0 - 1', 'i']","['0', '']","['0 - 1', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['0 - 8', 'i']","['0', '']","['0 - 4', 'i']","['0', '']","['0 - 8', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['269', '']","['49', '']","['7', '']","['0', '']","['54 - 64', '']","['82', '']","['0', '']","['0', '']","['0', '']","['65 - 75', '']"
6585,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['*', 'i']","['0', '']","['0 - 1', 'i']","['0', '']","['0 - 1', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['11 - 20', '']","['12', '']","['0 - 4', '']","['*', '']","['0 - 8', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 8', '']"
6585,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['*', 'i']","['*', '']","['0', '']","['0', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['2', 'i']","['2', '']","['*', '']","['*', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2', '']","['*', '']","['1', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['4', '']","['3', '']","['*', 'i']","['1', 'i']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['193', '']","['105', '']","['87', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6585,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1', 'i']","['0', '']","['1', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
