table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
2704,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['441,036', '  ']","['247,929', '  ']","['28,759', '  ']","['18,540', '  ']","['7,261', '  ']","['30,019', '  ']","['7,802', '  ']","['16,409', '  ']","['2,891', '  ']","['16,161', '  ']","['65,266', '  ']"
2704,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['274,075', '  ']","['146,749', '  ']","['10,875', '  ']","['10,019', '  ']","['3,974', '  ']","['25,547', '  ']","['4,440', '  ']","['11,337', '  ']","['2,581', '  ']","['11,435', '  ']","['47,118', '  ']"
2704,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,654', '  ']","['2,822', '  ']","['42', '  ']","['87', '  ']","['36', 'i ']","['510', '  ']","['55', '  ']","['212', '  ']","['3', 'i ']","['210', '  ']","['678', 'i ']"
2704,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,113', '  ']","['593', '  ']","['10', '  ']","['54', '  ']","['4', '  ']","['92', '  ']","['13', '  ']","['55', '  ']","['*', '  ']","['62', '  ']","['229', '  ']"
2704,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['989', '  ']","['639', '  ']","['13', '  ']","['22', '  ']","['70', '  ']","['95', '  ']","['5', '  ']","['15', '  ']","['3', '  ']","['19', '  ']","['108', '  ']"
2704,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['203', '  ']","['145', '  ']","['*', 'i ']","['5', '  ']","['3', '  ']","['33', '  ']","['2', '  ']","['3', '  ']","['0', '  ']","['4', '  ']","['8', '  ']"
2704,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['934', '  ']","['445', '  ']","['*', 'i ']","['34', '  ']","['20', '  ']","['381', '  ']","['3', '  ']","['6', '  ']","['0', '  ']","['5', '  ']","['40', '  ']"
2704,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['242', '  ']","['157', '  ']","['16', '  ']","['13', 'i ']","['1', '  ']","['16', '  ']","['2', '  ']","['13', 'i ']","['*', '  ']","['3', '  ']","['20', '  ']"
2704,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,269', '  ']","['738', '  ']","['0', '  ']","['19', '  ']","['18', '  ']","['34', '  ']","['5', '  ']","['36', '  ']","['*', 'i ']","['306', '  ']","['114', '  ']"
2704,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['84,137', '  ']","['38,125', '  ']","['4,698', '  ']","['4,734', '  ']","['597', '  ']","['6,868', '  ']","['1,487', '  ']","['3,913', '  ']","['1,321', '  ']","['4,710', '  ']","['17,684', '  ']"
2704,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,443', '  ']","['1,494', '  ']","['6', '  ']","['50', '  ']","['33', '  ']","['224', '  ']","['38', '  ']","['142', '  ']","['4', '  ']","['161', '  ']","['292', '  ']"
2704,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,653', '  ']","['1,049', '  ']","['1', '  ']","['69', '  ']","['1', '  ']","['105', '  ']","['16', '  ']","['111', '  ']","['9', '  ']","['0 - 208', '  ']","['80 - 297', '  ']"
2704,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,460', '  ']","['809', 'i ']","['1', 'i ']","['159', '  ']","['6', 'i ']","['112', 'i ']","['29', 'i ']","['115', 'i ']","['18', '  ']","['39', 'i ']","['172', 'i ']"
2704,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['74,592', '  ']","['32,309', '  ']","['4,678', '  ']","['4,347', '  ']","['525', '  ']","['6,198', '  ']","['1,367', '  ']","['3,398', '  ']","['1,285', '  ']","['4,283', '  ']","['16,202', '  ']"
2704,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,710', '  ']","['1,630', '  ']","['12', '  ']","['91', '  ']","['16', '  ']","['132', '  ']","['26', '  ']","['103', '  ']","['*', '  ']","['22', '  ']","['678', '  ']"
2704,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,278', '  ']","['834', '  ']","['1', '  ']","['17', '  ']","['16', '  ']","['96', '  ']","['12', '  ']","['43', '  ']","['4', '  ']","['0 - 208', '  ']","['43 - 260', '  ']"
2704,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,751', '  ']","['1,603', '  ']","['18', '  ']","['45', '  ']","['51', '  ']","['475', '  ']","['26', '  ']","['80', '  ']","['14', 'i ']","['40', '  ']","['398', '  ']"
2704,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,385', '  ']","['725', 'i ']","['5', 'i ']","['34', 'i ']","['27', 'i ']","['137', 'i ']","['36', 'i ']","['74', 'i ']","['0', '  ']","['76', 'i ']","['271', 'i ']"
2704,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['839', '  ']","['436', '  ']","['9', '  ']","['8', '  ']","['3', '  ']","['167', '  ']","['3', '  ']","['43', '  ']","['1', '  ']","['16', '  ']","['153', '  ']"
2704,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,327', '  ']","['1,422', '  ']","['24', '  ']","['70', '  ']","['28', '  ']","['364', '  ']","['16', '  ']","['33', '  ']","['9', '  ']","['31', '  ']","['328', '  ']"
2704,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['14,799', '  ']","['8,719', '  ']","['237', '  ']","['555', '  ']","['119', '  ']","['2,015', '  ']","['255', '  ']","['634', '  ']","['35', '  ']","['249', '  ']","['1,980', '  ']"
2704,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,872', '  ']","['1,028', '  ']","['0', '  ']","['137', '  ']","['7', '  ']","['266', '  ']","['7', '  ']","['41', '  ']","['2', '  ']","['56', '  ']","['328', '  ']"
2704,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,166', '  ']","['2,199', '  ']","['186', '  ']","['31', '  ']","['29', '  ']","['504', '  ']","['71', '  ']","['317', '  ']","['0', '  ']","['24', '  ']","['804', '  ']"
2704,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['2,483', '  ']","['1,523', '  ']","['1', '  ']","['262', '  ']","['10', '  ']","['310', 'i ']","['11', '  ']","['97', '  ']","['0 - 34', '  ']","['3', '  ']","['228 - 270', 'i ']"
2704,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['6,278', '  ']","['3,968', '  ']","['50', '  ']","['125', '  ']","['73', '  ']","['935', '  ']","['165', 'i ']","['179', '  ']","['0 - 34', '  ']","['167', '  ']","['578 - 620', '  ']"
