table_id,row_id,occupational_group_and_highest_degree_full_path,occupational_group_and_highest_degree_level_1,occupational_group_and_highest_degree_level_2,occupational_group_and_highest_degree_hierarchy_depth,field_thousands_1993,field_thousands_2003,field_thousands_2019,field_percent_1993,field_percent_2003,field_percent_2019
4422,r001,Workforce with a bachelor's degree or above,Workforce with a bachelor's degree or above,,1,3064,7585,26341,31,42,52
4422,r002,STEM occupations ,STEM occupations ,,1,,,,,,
4422,r003,STEM occupations  -> S&E,STEM occupations ,S&E,2,755,1269,2193,23,26,29
4422,r004,STEM occupations  -> S&E-related,STEM occupations ,S&E-related,2,NA,2948,5109,NA,55,57
4422,r005,STEM highest degree,STEM highest degree,,1,,,,,,
4422,r006,STEM highest degree -> S&E,STEM highest degree,S&E,2,2025,3426,6132,31,36,40
4422,r007,STEM highest degree -> S&E-related,STEM highest degree,S&E-related,2,NA,2462,4747,NA,56,64
