table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d,field_funding_agency_doe,field_funding_agency_nasa
10248,r001,All agencies sponsoring FFRDCs,All agencies sponsoring FFRDCs,,,,1,2019120,2017103,2017
10248,r002,All agencies sponsoring FFRDCs -> Departments,All agencies sponsoring FFRDCs,Departments,,,2,,,
10248,r003,All agencies sponsoring FFRDCs -> Departments -> Department of Energy,All agencies sponsoring FFRDCs,Departments,Department of Energy,,3,2017103,2017103,0
10248,r004,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Ames Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Ames Laboratory,4,4250,4250,0
10248,r005,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Argonne National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Argonne National Laboratory,4,191555,191555,0
10248,r006,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Brookhaven National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Brookhaven National Laboratory,4,119044,119044,0
10248,r007,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Fermi National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Fermi National Accelerator Laboratory,4,312274,312274,0
10248,r008,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Idaho National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Idaho National Laboratory,4,1233,1233,0
10248,r009,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Berkeley National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Berkeley National Laboratory,4,131138,131138,0
10248,r010,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Livermore National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Livermore National Laboratory,4,205760,205760,0
10248,r011,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Los Alamos National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Los Alamos National Laboratory,4,106251,106251,0
10248,r012,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> National Renewable Energy Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,National Renewable Energy Laboratory,4,41696,41696,0
10248,r013,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Oak Ridge National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Oak Ridge National Laboratory,4,608849,608849,0
10248,r014,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Pacific Northwest National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Pacific Northwest National Laboratory,4,29247,29247,0
10248,r015,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Princeton Plasma Physics Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Princeton Plasma Physics Laboratory,4,14856,14856,0
10248,r016,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> SLAC National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,SLAC National Accelerator Laboratory,4,198439,198439,0
10248,r017,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Sandia National Laboratories,All agencies sponsoring FFRDCs,Departments,Department of Energy,Sandia National Laboratories,4,35431,35431,0
10248,r018,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Savannah River National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Savannah River National Laboratory,4,2129,2129,0
10248,r019,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Thomas Jefferson National Accelerator Facility,All agencies sponsoring FFRDCs,Departments,Department of Energy,Thomas Jefferson National Accelerator Facility,4,14949,14949,0
10248,r020,All agencies sponsoring FFRDCs -> Other agencies,All agencies sponsoring FFRDCs,Other agencies,,,2,,,
10248,r021,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,,3,2017,0,2017
10248,r022,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration -> Jet Propulsion Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,Jet Propulsion Laboratory,4,2017,0,2017
