table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_all_sources,field_government_federal,field_government_state_and_local,field_institutional_funds_and_other_sourcesa
7864,r001,All institutions,All institutions,,,1,4477.1,40.9,990.7,3445.5
7864,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,4326.2,37.7,987.2,3301.3
7864,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,2807.3,37.7,981.3,1788.3
7864,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,1518.9,0.0,5.9,1513.0
7864,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,150.9,3.2,3.4,144.2
