table_id,row_id,field_of_s_e_highest_degree_full_path,field_of_s_e_highest_degree_level_1,field_of_s_e_highest_degree_level_2,field_of_s_e_highest_degree_level_3,field_of_s_e_highest_degree_level_4,field_of_s_e_highest_degree_hierarchy_depth,field_total,field_female_number,field_female_percent,field_male_number,field_male_percent
1628,r059,All S&E highest degree -> Social and related sciences -> Psychology -> Clinical psychology,All S&E highest degree,Social and related sciences,Psychology,Clinical psychology,4,239000,152000,63.6,87000,36.4
1628,r060,All S&E highest degree -> Social and related sciences -> Psychology -> Counseling psychology,All S&E highest degree,Social and related sciences,Psychology,Counseling psychology,4,310000,237000,76.5,73000,23.5
1628,r061,All S&E highest degree -> Social and related sciences -> Psychology -> Experimental psychology,All S&E highest degree,Social and related sciences,Psychology,Experimental psychology,4,39000,15000,38.5,24000,61.5
1628,r062,All S&E highest degree -> Social and related sciences -> Psychology -> General psychology,All S&E highest degree,Social and related sciences,Psychology,General psychology,4,923000,667000,72.3,256000,27.7
1628,r063,All S&E highest degree -> Social and related sciences -> Psychology -> Industrial/ organizational psychology,All S&E highest degree,Social and related sciences,Psychology,Industrial/ organizational psychology,4,82000,55000,67.1,27000,32.9
1628,r064,All S&E highest degree -> Social and related sciences -> Psychology -> Social psychology,All S&E highest degree,Social and related sciences,Psychology,Social psychology,4,118000,67000,56.8,52000,44.1
1628,r065,All S&E highest degree -> Social and related sciences -> Psychology -> Other psychology,All S&E highest degree,Social and related sciences,Psychology,Other psychology,4,208000,164000,78.8,44000,21.2
1628,r066,All S&E highest degree -> Social and related sciences -> Sociology and anthropology,All S&E highest degree,Social and related sciences,Sociology and anthropology,,3,838000,580000,69.2,258000,30.8
1628,r067,All S&E highest degree -> Social and related sciences -> Sociology and anthropology -> Anthropology and archaeology,All S&E highest degree,Social and related sciences,Sociology and anthropology,Anthropology and archaeology,4,191000,130000,68.1,60000,31.4
1628,r068,All S&E highest degree -> Social and related sciences -> Sociology and anthropology -> Criminology,All S&E highest degree,Social and related sciences,Sociology and anthropology,Criminology,4,78000,46000,59.0,31000,39.7
1628,r069,All S&E highest degree -> Social and related sciences -> Sociology and anthropology -> Sociology,All S&E highest degree,Social and related sciences,Sociology and anthropology,Sociology,4,570000,403000,70.7,166000,29.1
1628,r070,All S&E highest degree -> Social and related sciences -> Other social sciences,All S&E highest degree,Social and related sciences,Other social sciences,,3,600000,364000,60.7,236000,39.3
1628,r071,All S&E highest degree -> Social and related sciences -> Other social sciences -> Area and ethnic studies,All S&E highest degree,Social and related sciences,Other social sciences,Area and ethnic studies,4,133000,84000,63.2,49000,36.8
1628,r072,All S&E highest degree -> Social and related sciences -> Other social sciences -> Linguistics,All S&E highest degree,Social and related sciences,Other social sciences,Linguistics,4,79000,63000,79.7,16000,20.3
1628,r073,All S&E highest degree -> Social and related sciences -> Other social sciences -> Philosophy of science,All S&E highest degree,Social and related sciences,Other social sciences,Philosophy of science,4,29000,28000,96.6,2000,s
1628,r074,All S&E highest degree -> Social and related sciences -> Other social sciences -> Geography,All S&E highest degree,Social and related sciences,Other social sciences,Geography,4,137000,51000,37.2,86000,62.8
1628,r075,All S&E highest degree -> Social and related sciences -> Other social sciences -> History of science,All S&E highest degree,Social and related sciences,Other social sciences,History of science,4,6000,4000,66.7,s,s
1628,r076,All S&E highest degree -> Social and related sciences -> Other social sciences -> Other social sciences,All S&E highest degree,Social and related sciences,Other social sciences,Other social sciences,4,216000,135000,62.5,82000,38.0
1628,r077,All S&E highest degree -> Engineering,All S&E highest degree,Engineering,,,2,3494000,570000,16.3,2924000,83.7
1628,r078,"All S&E highest degree -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E highest degree,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,127000,19000,15.0,108000,85.0
1628,r079,All S&E highest degree -> Engineering -> Chemical engineering,All S&E highest degree,Engineering,Chemical engineering,,3,220000,59000,26.8,161000,73.2
1628,r080,All S&E highest degree -> Engineering -> Civil and architectural engineering,All S&E highest degree,Engineering,Civil and architectural engineering,,3,501000,81000,16.2,420000,83.8
1628,r081,All S&E highest degree -> Engineering -> Civil and architectural engineering -> Architectural engineering,All S&E highest degree,Engineering,Civil and architectural engineering,Architectural engineering,4,25000,4000,16.0,21000,84.0
1628,r082,All S&E highest degree -> Engineering -> Civil and architectural engineering -> Civil engineering,All S&E highest degree,Engineering,Civil and architectural engineering,Civil engineering,4,476000,77000,16.2,399000,83.8
1628,r083,All S&E highest degree -> Engineering -> Electrical and computer engineering,All S&E highest degree,Engineering,Electrical and computer engineering,,3,1264000,170000,13.4,1094000,86.6
1628,r084,All S&E highest degree -> Engineering -> Electrical and computer engineering -> Computer and systems engineering,All S&E highest degree,Engineering,Electrical and computer engineering,Computer and systems engineering,4,350000,65000,18.6,285000,81.4
1628,r085,"All S&E highest degree -> Engineering -> Electrical and computer engineering -> Electrical, electronics, and communications engineering",All S&E highest degree,Engineering,Electrical and computer engineering,"Electrical, electronics, and communications engineering",4,914000,105000,11.5,809000,88.5
1628,r086,All S&E highest degree -> Engineering -> Industrial and manufacturing engineering,All S&E highest degree,Engineering,Industrial and manufacturing engineering,,3,214000,53000,24.8,161000,75.2
1628,r087,All S&E highest degree -> Engineering -> Mechanical engineering,All S&E highest degree,Engineering,Mechanical engineering,,3,689000,61000,8.9,628000,91.1
1628,r088,All S&E highest degree -> Engineering -> Other engineering,All S&E highest degree,Engineering,Other engineering,,3,479000,128000,26.7,351000,73.3
1628,r089,All S&E highest degree -> Engineering -> Other engineering -> Agricultural engineering,All S&E highest degree,Engineering,Other engineering,Agricultural engineering,4,30000,s,s,16000,53.3
1628,r090,All S&E highest degree -> Engineering -> Other engineering -> Bioengineering and biomedical engineering,All S&E highest degree,Engineering,Other engineering,Bioengineering and biomedical engineering,4,58000,26000,44.8,32000,55.2
1628,r091,"All S&E highest degree -> Engineering -> Other engineering -> Engineering sciences, mechanics, and physics",All S&E highest degree,Engineering,Other engineering,"Engineering sciences, mechanics, and physics",4,33000,7000,21.2,26000,78.8
1628,r092,All S&E highest degree -> Engineering -> Other engineering -> Environmental engineering,All S&E highest degree,Engineering,Other engineering,Environmental engineering,4,66000,23000,34.8,43000,65.2
1628,r093,"All S&E highest degree -> Engineering -> Other engineering -> Engineering, general",All S&E highest degree,Engineering,Other engineering,"Engineering, general",4,36000,9000,25.0,27000,75.0
1628,r094,All S&E highest degree -> Engineering -> Other engineering -> Geophysical and geological engineering,All S&E highest degree,Engineering,Other engineering,Geophysical and geological engineering,4,13000,2000,15.4,11000,84.6
1628,r095,"All S&E highest degree -> Engineering -> Other engineering -> Materials engineering, including ceramics and textiles",All S&E highest degree,Engineering,Other engineering,"Materials engineering, including ceramics and textiles",4,71000,13000,18.3,57000,80.3
1628,r096,All S&E highest degree -> Engineering -> Other engineering -> Metallurgical engineering,All S&E highest degree,Engineering,Other engineering,Metallurgical engineering,4,9000,s,s,7000,77.8
1628,r097,All S&E highest degree -> Engineering -> Other engineering -> Mining and minerals engineering,All S&E highest degree,Engineering,Other engineering,Mining and minerals engineering,4,11000,s,s,10000,90.9
1628,r098,All S&E highest degree -> Engineering -> Other engineering -> Naval architecture and marine engineering,All S&E highest degree,Engineering,Other engineering,Naval architecture and marine engineering,4,11000,s,s,11000,100.0
1628,r099,All S&E highest degree -> Engineering -> Other engineering -> Nuclear engineering,All S&E highest degree,Engineering,Other engineering,Nuclear engineering,4,20000,3000,15.0,18000,90.0
1628,r100,All S&E highest degree -> Engineering -> Other engineering -> Petroleum engineering,All S&E highest degree,Engineering,Other engineering,Petroleum engineering,4,23000,8000,34.8,15000,65.2
1628,r101,All S&E highest degree -> Engineering -> Other engineering -> Other engineering,All S&E highest degree,Engineering,Other engineering,Other engineering,4,98000,19000,19.4,79000,80.6
