table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022_preliminary_
10321,r001,All fields,All fields,,,1,29779,31588,31527,32293,33271,36195,40017,41547,42494,43790
10321,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,NA,NA,NA,NA,NA,NA,NA,NA,2264,2383
10321,r003,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,1691,1918,1984,2110,1877,2085,2306,2524,NA,NA
10321,r004,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,860,959,1025,997,999,1032,1151,1230,NA,NA
10321,r005,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,757,824,874,1019,824,943,1039,504,NA,NA
10321,r006,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,73,134,86,93,55,110,116,791,NA,NA
10321,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",,2,2396,2753,2738,2765,2687,2996,3252,3167,1772,3568
10321,r008,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Atmospheric science and meteorology (formerly Atmospheric sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Atmospheric science and meteorology (formerly Atmospheric sciences),3,995,1037,1051,1080,1088,508,514,563,561,NA
10321,r009,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Geological and earth sciences (formerly Geological sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Geological and earth sciences (formerly Geological sciences),3,411,418,433,433,439,183,200,262,315,NA
10321,r010,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Ocean sciences and marine sciences (formerly Oceanography)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Ocean sciences and marine sciences (formerly Oceanography),3,457,483,432,442,385,419,432,470,489,NA
10321,r011,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Other geosciences, atmospheric sciences, and ocean sciences (formerly Other environmental sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)","Other geosciences, atmospheric sciences, and ocean sciences (formerly Other environmental sciences)",3,533,816,822,810,776,1887,2106,1872,407,NA
10321,r012,All fields -> Life sciences,All fields,Life sciences,,2,15317,16019,15210,15577,16574,18176,18881,20805,19008,19188
10321,r013,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,462,514,554,566,584,597,635,682,587,NA
