table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_economies_by_income_status,field_2000_fractional_count,field_2000_whole_count,field_2001_fractional_count,field_2001_whole_count,field_2002_fractional_count,field_2002_whole_count,field_2003_fractional_count,field_2003_whole_count,field_2004_fractional_count,field_2004_whole_count,field_2005_fractional_count,field_2005_whole_count,field_2006_fractional_count,field_2006_whole_count,field_2007_fractional_count,field_2007_whole_count,field_2008_fractional_count,field_2008_whole_count,field_2009_fractional_count,field_2009_whole_count,field_2010_fractional_count,field_2010_whole_count,field_2011_fractional_count,field_2011_whole_count,field_2012_fractional_count,field_2012_whole_count,field_2013_fractional_count,field_2013_whole_count,field_2014_fractional_count,field_2014_whole_count,field_2015_fractional_count,field_2015_whole_count,field_2016_fractional_count,field_2016_whole_count,field_2017_fractional_count,field_2017_whole_count,field_2018_fractional_count,field_2018_whole_count
1826,r001,World,World,,,,1,,38805.0,38805,39175.0,39175,39879.0,39879,41866.0,41866,46390.0,46390,49631.0,49631,50251.0,50251,53714.0,53714,53408.0,53408,57556.0,57556,59504.0,59504,63317.0,63317,64223.0,64223,70871.0,70871,74016.0,74016,71931.0,71931,77276.0,77276,79864.0,79864,78413.0,78413
1826,r002,World -> North America,World,North America,,,2,,12245.71,14083,12168.32,13919,12744.9,14849,13310.17,15884,15727.73,18758,15411.98,18861,15671.39,19182,16075.16,19796,14904.04,18859,15853.87,20153,16429.75,20806,16723.53,21343,16966.5,21977,18587.35,24205,18495.45,24468,17398.32,23511,18461.07,25093,18315.17,25217,18012.5,25165
1826,r003,World -> North America -> Canada,World,North America,Canada,,3,High,1656.85,2152,1602.13,2074,1675.43,2228,1541.82,2226,1896.96,2780,1862.51,2830,2002.42,2978,2102.33,3130,2013.62,3111,2153.62,3327,2093.1,3275,2343.81,3613,2323.83,3681,2394.56,3897,2469.81,4054,2345.39,3942,2411.82,4064,2203.55,3892,2332.97,4229
1826,r004,World -> North America -> Greenland,World,North America,Greenland,,3,High,1.63,4,0.79,3,2.0,6,2.18,11,1.46,3,3.08,8,3.14,12,6.33,18,4.76,13,3.13,13,9.04,32,8.91,38,9.33,39,6.82,39,10.13,51,14.68,63,7.85,48,7.96,37,9.25,43
1826,r005,World -> North America -> Mexico,World,North America,Mexico,,3,Upper-middle,380.78,480,344.6,435,369.17,480,451.08,607,415.81,571,431.2,611,452.08,635,461.45,634,476.01,651,498.67,711,571.5,779,510.28,715,596.11,831,610.62,872,594.98,836,602.62,844,656.24,924,748.6,1043,714.05,1008
1826,r006,World -> North America -> United States,World,North America,United States,,3,High,10206.46,11965,10220.8,11897,10698.3,12706,11315.08,13805,13413.5,16293,13115.18,16339,13213.75,16510,13505.05,16960,12409.65,16125,13198.46,17254,13756.11,17835,13860.52,18162,14037.23,18686,15575.36,20739,15420.53,20897,14435.63,20096,15385.17,21476,15355.06,21650,14956.23,21454
1826,r007,World -> Central America and Caribbean,World,Central America and Caribbean,,,2,,84.81,132,122.8,169,90.81,147,120.64,193,168.14,263,143.14,243,167.43,297,107.2,213,160.73,294,146.81,266,156.29,302,120.12,239,154.5,306,116.22,267,161.93,329,153.79,324,172.0,359,146.45,339,173.1,361
1826,r008,World -> Central America and Caribbean -> Antigua and Barbuda,World,Central America and Caribbean,Antigua and Barbuda,,3,High,0.25,1,0.0,0,0.0,0,0.0,0,0.17,1,0.0,0,0.2,1,0.0,0,0.0,0,0.0,0,0.1,1,0.5,1,0.0,0,0.0,0,0.03,1,0.0,1,0.0,1,0.0,1,0.0,0
1826,r009,"World -> Central America and Caribbean -> Bahamas, The",World,Central America and Caribbean,"Bahamas, The",,3,High,0.7,2,0.33,1,0.24,2,0.92,2,0.17,1,0.73,2,0.45,2,1.71,5,0.67,2,0.33,1,0.85,3,2.12,10,1.51,5,0.71,5,3.02,11,1.77,6,2.33,6,3.91,18,4.04,16
1826,r010,World -> Central America and Caribbean -> Barbados,World,Central America and Caribbean,Barbados,,3,High,0.5,1,1.75,2,1.03,4,0.92,3,1.5,2,2.75,5,1.83,3,0.14,1,2.11,3,0.83,2,1.1,5,1.63,3,3.67,5,3.08,12,3.53,9,1.8,4,3.47,7,0.34,5,0.4,3
