table_id,row_id,question_full_path,question_level_1,question_level_2,question_hierarchy_depth,field_survey_item,field_aggregate_amount
6626,r001,Company and financial information (US$millions),Company and financial information (US$millions),,1,,"['', '']"
6626,r002,Company and financial information (US$millions) -> 1.12,Company and financial information (US$millions),1.12,2,Worldwide net sales and operating revenues,"['14,897,629', '&nbsp;']"
6626,r003,Company and financial information (US$millions) -> 1.13,Company and financial information (US$millions),1.13,2,Net sales and operating revenues from domestic operations,"['11,180,864', '&nbsp;']"
6626,r004,Company and financial information (US$millions) -> &nbsp;,Company and financial information (US$millions),&nbsp;,2,R&D paid for by the company and performed by the company and others,"['&nbsp;', '&nbsp;']"
6626,r005,Company and financial information (US$millions) -> 2.1,Company and financial information (US$millions),2.1,2,"Worldwide R&D paid for by the company (expense), total","['614,273', '&nbsp;']"
6626,r006,Company and financial information (US$millions) -> 2.3,Company and financial information (US$millions),2.3,2,"Worldwide R&D paid for by the company (expense), adjustments","['43,255', '&nbsp;']"
6626,r007,Company and financial information (US$millions) -> 2.4/2.7c,Company and financial information (US$millions),2.4/2.7c,2,Worldwide R&D paid for by the company and performed by the company and others,"['571,019', '&nbsp;']"
6626,r008,Company and financial information (US$millions) -> 2.7a,Company and financial information (US$millions),2.7a,2,Domestic R&D paid for by the company and performed by the company and others,"['466,504', '&nbsp;']"
6626,r009,Company and financial information (US$millions) -> 2.7b,Company and financial information (US$millions),2.7b,2,Foreign R&D paid for by the company and performed by the company and others,"['104,515', '&nbsp;']"
6626,r010,Company and financial information (US$millions) -> 2.5,Company and financial information (US$millions),2.5,2,"Indirect R&D charges to be recouped from the U.S. federal government (IR&D, or independent R&D)a","['6,190', '&nbsp;']"
6626,r011,Company and financial information (US$millions) -> 2.8m(1),Company and financial information (US$millions),2.8m(1),2,Domestic R&D paid for by the company and performed by the company and others,"['466,504', '&nbsp;']"
6626,r012,Company and financial information (US$millions) -> 2.8a(1),Company and financial information (US$millions),2.8a(1),2,"Salaries, wages, and fringe benefits","['231,648', '&nbsp;']"
6626,r013,Company and financial information (US$millions) -> 2.8b(1),Company and financial information (US$millions),2.8b(1),2,Stock-based compensation,"['38,284', '&nbsp;']"
6626,r014,Company and financial information (US$millions) -> 2.8c(1),Company and financial information (US$millions),2.8c(1),2,"Leased or temporary staffing, including on-site contractors, working on R&D","['19,261', '&nbsp;']"
6626,r015,Company and financial information (US$millions) -> 2.8d(1),Company and financial information (US$millions),2.8d(1),2,Expensed equipment (not capitalized),"['6,738', '&nbsp;']"
