table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
9655,r001,All business activities,All business activities,,1,21100–81000,"['602,499', '  ']","['527,804', '  ']","['74,695', '  ']"
9655,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['813', '  ']","['793', '  ']","['21', 'i ']"
9655,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['89', 'i ']","['89', 'i ']","['0', '  ']"
9655,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['651', 'i ']","['499', 'i ']","['152', 'i ']"
9655,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['34 - 1,538', '  ']","['0 - 1,503', '  ']","['35', 'i ']"
9655,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['783', '  ']","['750', '  ']","['32', '  ']"
9655,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['5,235', '  ']","['4,961', '  ']","['273', '  ']"
9655,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['740', '  ']","['740', '  ']","['*', 'r ']"
9655,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['233', '  ']","['215', '  ']","['18', '  ']"
9655,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['775', '  ']","['764', '  ']","['11', '  ']"
9655,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['476', '  ']","['472', '  ']","['4', '  ']"
9655,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,534', '  ']","['1,534', '  ']","['*', '  ']"
9655,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['307 - 1,044', '  ']","['308', '  ']","['0 - 735', '  ']"
9655,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['392', '  ']","['388', '  ']","['3', '  ']"
9655,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['138', '  ']","['138', '  ']","['0', '  ']"
9655,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['91', '  ']","['91', '  ']","['*', '  ']"
9655,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,048', '  ']","['2,892', '  ']","['156', '  ']"
9655,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,284 - 2,021', '  ']","['1,285', '  ']","['0 - 735', 'i ']"
9655,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['1,266 - 2,003', '  ']","['1,267', '  ']","['0 - 735', '  ']"
9655,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['58,651', '  ']","['51,255', '  ']","['7,396', '  ']"
9655,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,622', '  ']","['1,609', '  ']","['13', '  ']"
9655,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['38,166', '  ']","['34,222', '  ']","['3,944', '  ']"
9655,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,238 - 2,975', '  ']","['2,239', '  ']","['0 - 735', '  ']"
9655,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,325 - 2,062', '  ']","['1,326', '  ']","['0 - 735', '  ']"
9655,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,226', '  ']","['3,076', '  ']","['149', 'i ']"
9655,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,376', '  ']","['1,367', '  ']","['9', '  ']"
9655,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['418', '  ']","['363', '  ']","['54', 'i ']"
9655,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['1,023', '  ']","['988', '  ']","['35', 'i ']"
9655,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['4,861', '  ']","['4,195', '  ']","['666', '  ']"
9655,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,475 - 2,212', '  ']","['1,476', '  ']","['0 - 735', '  ']"
9655,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,384', '  ']","['1,374', '  ']","['11', '  ']"
9655,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['1,223', '  ']","['1,160', '  ']","['63', '  ']"
9655,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['5,308', '  ']","['5,133', '  ']","['175', '  ']"
9655,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,411', '  ']","['1,090', '  ']","['321', '  ']"
9655,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['70', '  ']","['69', '  ']","['1', 'r ']"
9655,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['1,907', '  ']","['1,828', '  ']","['79', '  ']"
9655,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['398 - 1,135', '  ']","['399', '  ']","['0 - 735', '  ']"
9655,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['2,050', '  ']","['1,926', '  ']","['124', '  ']"
9655,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,532', '  ']","['2,444', '  ']","['88', '  ']"
9655,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['24,633', '  ']","['24,562', '  ']","['71', '  ']"
9655,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['7,853 - 8,590', '  ']","['7,854', '  ']","['0 - 735', '  ']"
9655,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['3,313', '  ']","['2,239', '  ']","['1,074', 'i ']"
