table_id,row_id,major_field_full_path,major_field_level_1,major_field_level_2,major_field_level_3,major_field_level_4,major_field_hierarchy_depth,field_2018_19,field_2019_20,field_2020_21,field_2021_22,field_2018_22_combined
10773,r001,All fields,All fields,,,,1,1464,-566,-2353,-578,-2033
10773,r002,All fields -> Science and engineering,All fields,Science and engineering,,,2,1291,434,-1674,-521,-470
10773,r003,All fields -> Science and engineering -> Science,All fields,Science and engineering,Science,,3,939,238,-1552,-516,-891
10773,r004,All fields -> Science and engineering -> Science -> Agricultural and veterinary sciences,All fields,Science and engineering,Science,Agricultural and veterinary sciences,4,7,599,-83,110,633
10773,r005,All fields -> Science and engineering -> Science -> Biological and biomedical sciences,All fields,Science and engineering,Science,Biological and biomedical sciences,4,314,55,-1657,-660,-1948
10773,r006,All fields -> Science and engineering -> Science -> Computer and information sciences,All fields,Science and engineering,Science,Computer and information sciences,4,-1,-55,57,-21,-20
10773,r007,"All fields -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,52,12,7,-10,61
10773,r008,All fields -> Science and engineering -> Science -> Mathematics and statistics,All fields,Science and engineering,Science,Mathematics and statistics,4,88,6,36,-2,128
10773,r009,All fields -> Science and engineering -> Science -> Multidisciplinary and interdisciplinary studies,All fields,Science and engineering,Science,Multidisciplinary and interdisciplinary studies,4,-8,-140,46,-38,-140
10773,r010,All fields -> Science and engineering -> Science -> Natural resources and conservation,All fields,Science and engineering,Science,Natural resources and conservation,4,42,39,44,47,172
10773,r011,All fields -> Science and engineering -> Science -> Physical sciences,All fields,Science and engineering,Science,Physical sciences,4,183,-222,-114,54,-99
10773,r012,All fields -> Science and engineering -> Science -> Psychology,All fields,Science and engineering,Science,Psychology,4,7,160,13,-17,163
10773,r013,All fields -> Science and engineering -> Science -> Social sciences,All fields,Science and engineering,Science,Social sciences,4,255,-216,99,21,159
10773,r014,All fields -> Science and engineering -> Engineering,All fields,Science and engineering,Engineering,,3,352,196,-122,-5,421
10773,r015,All fields -> Health,All fields,Health,,,2,173,-1000,-679,-57,-1563
10773,r016,All fields -> Health -> Clinical medicine,All fields,Health,Clinical medicine,,3,87,-363,-726,69,-933
10773,r017,All fields -> Health -> Other health,All fields,Health,Other health,,3,86,-637,47,-126,-630
