table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2018,field_total_2019,field_total_2020,field_total_2021,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021
6880,r001,All FFRDCs,All FFRDCs,,,1,"['21,171,529', ' ']","['22,737,500', ' ']","['23,514,241', ' ']","['24,921,476', ' ']","['20,770,388', ' ']","['22,338,855', ' ']","['23,133,501', ' ']","['24,509,691', ' ']"
6880,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,715,338', ' ']","['6,946,262', ' ']","['7,003,132', ' ']","['6,850,276', ' ']","['6,560,094', ' ']","['6,796,696', ' ']","['6,867,741', ' ']","['6,700,555', ' ']"
6880,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['36,858', '']","['33,612', '']","['32,844', '']","['34,214', '']","['35,696', '']","['33,211', '']","['32,302', '']","['34,016', '']"
6880,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['777,246', '']","['810,693', '']","['859,658', '']","['856,568', '']","['747,349', '']","['787,513', '']","['840,237', '']","['832,400', '']"
6880,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['328,419', '']","['334,258', '']","['300,002', '']","['319,051', '']","['327,630', '']","['333,460', '']","['299,811', '']","['317,812', '']"
6880,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory<sup>a</sup>,All FFRDCs,University-administered FFRDCs,Green Bank Observatory<sup>a</sup>,3,"['NA', '']","['NA', '']","['NA', '']","['8,629', '']","['NA', '']","['NA', '']","['NA', '']","['8,629', '']"
6880,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,733,908', '']","['2,709,063', '']","['2,638,412', '']","['2,388,355', '']","['2,733,908', '']","['2,709,063', '']","['2,638,412', '']","['2,388,355', '']"
6880,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['832,457', '']","['872,237', '']","['916,082', '']","['966,972', '']","['769,839', '']","['807,967', '']","['862,965', '']","['910,428', '']"
6880,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,013,320', '']","['1,103,870', '']","['1,115,927', '']","['1,136,133', '']","['1,001,849', '']","['1,084,953', '']","['1,093,081', '']","['1,110,465', '']"
6880,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['158,260', '']","['199,476', '']","['188,484', '']","['181,010', '']","['139,532', '']","['187,615', '']","['175,316', '']","['161,163', '']"
6880,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['100,691', '']","['101,901', '']","['100,078', '']","['94,202', '']","['98,642', '']","['99,881', '']","['98,458', '']","['93,313', '']"
6880,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['14,733', '']","['15,931', '']","['16,892', '']","['17,684', '']","['14,027', '']","['15,892', '']","['16,472', '']","['17,680', '']"
6880,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,"['33,874', '']","['38,262', '']","['72,686', '']","['75,251', '']","['24,172', '']","['28,760', '']","['69,685', '']","['73,393', '']"
6880,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['82,435', '']","['91,271', '']","['107,662', '']","['115,505', '']","['82,057', '']","['91,119', '']","['103,856', '']","['113,591', '']"
6880,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['341,615', '']","['368,938', '']","['382,264', '']","['396,780', '']","['326,587', '']","['352,527', '']","['366,936', '']","['382,252', '']"
6880,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['142,891', '']","['140,954', '']","['141,291', '']","['120,443', '']","['142,877', '']","['140,940', '']","['141,291', '']","['120,443', '']"
6880,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['118,631', '']","['125,796', '']","['130,850', '']","['139,479', '']","['115,929', '']","['123,795', '']","['128,919', '']","['136,615', '']"
6880,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['6,617,274', ' ']","['7,033,162', ' ']","['7,419,509', ' ']","['8,370,508', ' ']","['6,490,564', ' ']","['6,891,730', ' ']","['7,279,066', ' ']","['8,215,876', ' ']"
6880,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,020,827', '']","['1,065,989', '']","['1,114,741', '']","['1,128,241', '']","['1,018,425', '']","['1,062,804', '']","['1,109,291', '']","['1,121,569', '']"
6880,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['39,738', '']","['37,956', '']","['35,248', '']","['38,304', '']","['39,738', '']","['37,956', '']","['35,248', '']","['38,304', '']"
6880,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['552,640', '']","['590,470', '']","['595,466', '']","['637,658', '']","['525,170', '']","['561,030', '']","['569,925', '']","['620,000', '']"
6880,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['177,530', '']","['174,123', '']","['180,634', '']","['230,484', '']","['156,437', '']","['152,539', '']","['163,497', '']","['207,828', '']"
6880,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['68,237', '']","['68,371', '']","['67,072', '']","['65,255', '']","['68,237', '']","['68,371', '']","['67,072', '']","['65,255', '']"
6880,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['162,690', '']","['174,712', '']","['190,408', '']","['263,661', '']","['161,448', '']","['173,127', '']","['190,408', '']","['263,661', '']"
6880,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['95,198', '']","['96,697', '']","['95,874', '']","['96,391', '']","['95,198', '']","['96,697', '']","['95,874', '']","['96,391', '']"
6880,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['5,054', '']","['6,987', '']","['6,762', '']","['5,630', '']","['4,647', '']","['6,340', '']","['6,359', '']","['5,233', '']"
6880,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['175,030', '']","['213,369', '']","['228,162', '']","['348,269', '']","['175,030', '']","['213,369', '']","['228,162', '']","['348,269', '']"
6880,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['46,321', '']","['54,751', '']","['44,736', '']","['34,888', '']","['46,321', '']","['54,751', '']","['44,736', '']","['34,888', '']"
6880,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['104,689', '']","['115,813', '']","['136,874', '']","['183,588', '']","['104,689', '']","['115,813', '']","['135,713', '']","['182,413', '']"
6880,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,"['6,697', '']","['7,331', '']","['6,765', '']","['5,493', '']","['6,697', '']","['7,331', '']","['6,708', '']","['5,493', '']"
6880,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['37,598', '']","['39,003', '']","['42,330', '']","['44,968', '']","['37,598', '']","['39,003', '']","['42,330', '']","['44,968', '']"
