table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5537,r001,R&D and R&D plant,R&D and R&D plant,,,1,226,226,226,0.0,0.0
5537,r002,R&D and R&D plant -> Agency for International Development (151),R&D and R&D plant,Agency for International Development (151),,2,156,153,153,-1.9,0.0
5537,r003,R&D and R&D plant -> Department of State (151),R&D and R&D plant,Department of State (151),,2,60,60,60,0.0,0.0
5537,r004,R&D and R&D plant -> International Security Assistance (152),R&D and R&D plant,International Security Assistance (152),,2,10,13,13,30.0,0.0
5537,r005,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,226,226,226,0.0,0.0
5537,r006,R&D and R&D plant -> R&D -> Agency for International Development (151),R&D and R&D plant,R&D,Agency for International Development (151),3,156,153,153,-1.9,0.0
5537,r007,R&D and R&D plant -> R&D -> Department of State (151),R&D and R&D plant,R&D,Department of State (151),3,60,60,60,0.0,0.0
5537,r008,R&D and R&D plant -> R&D -> International Security Assistance (152),R&D and R&D plant,R&D,International Security Assistance (152),3,10,13,13,30.0,0.0
