table_id,row_id,_b_sex_citizenship_ethnicity_race_and_broad_field_b_full_path,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_1,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_2,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_3,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_4,_b_sex_citizenship_ethnicity_race_and_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_hbcus,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_hbcus,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_hbcus,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_hbcus,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_hbcus
10740,r001,All individuals,All individuals,,,,1,798534,0.8,501311,0.9,297223,0.7,62750,0.3,32279,0.5
10740,r002,All individuals -> Male,All individuals,Male,,,2,412109,0.7,251531,0.7,160578,0.6,36038,0.3,18533,0.5
10740,r003,All individuals -> Female,All individuals,Female,,,2,386425,1.0,249780,1.1,136645,0.8,26712,0.3,13746,0.5
10740,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,500299,1.1,322005,1.2,178294,0.8,27289,0.4,na,na
10740,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,69621,0.3,48303,0.3,21318,0.2,2192,0.05,na,na
10740,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,,,,
10740,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,2082,1.2,1331,1.6,751,0.7,92,0.0,na,na
10740,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,61426,0.6,40873,0.7,20553,0.5,5286,0.5,na,na
10740,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,44016,8.6,31398,8.7,12618,8.4,1141,4.4,na,na
10740,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,738,0.1,541,0.2,197,0.0,34,2.9,na,na
10740,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,279657,0.2,172212,0.3,107445,0.1,15221,0.1,na,na
10740,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,19331,0.7,12002,0.7,7329,0.8,638,0.3,na,na
10740,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,23428,1.0,15345,1.1,8083,0.8,2685,0.4,na,na
10740,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,298235,0.4,179306,0.3,118929,0.6,35461,0.2,na,na
10740,r015,All individuals -> Science,All individuals,Science,,,2,538166,0.9,331983,1.0,206183,0.7,36673,0.3,19423,0.6
10740,r016,All individuals -> Science -> Agricultural and veterinary sciences,All individuals,Science,Agricultural and veterinary sciences,,3,11596,3.3,6949,4.7,4647,1.3,1705,1.3,1068,1.4
10740,r017,All individuals -> Science -> Biological and biomedical sciences,All individuals,Science,Biological and biomedical sciences,,3,102700,1.0,43062,1.5,59638,0.6,19585,0.3,8207,0.4
10740,r018,All individuals -> Science -> Computer and information sciences,All individuals,Science,Computer and information sciences,,3,150555,0.6,129972,0.6,20583,0.7,859,0.2,507,0.2
10740,r019,"All individuals -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All individuals,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,11970,0.6,5186,1.0,6784,0.3,1787,0.3,2448,1.8
10740,r020,All individuals -> Science -> Mathematics and statistics,All individuals,Science,Mathematics and statistics,,3,34387,0.4,20798,0.3,13589,0.5,1110,0.1,251,0.4
10740,r021,All individuals -> Science -> Multidisciplinary and interdisciplinary sciences,All individuals,Science,Multidisciplinary and interdisciplinary sciences,,3,20945,0.1,16931,0.1,4014,0.0,840,0.1,931,0.1
10740,r022,All individuals -> Science -> Natural resources and conservation,All individuals,Science,Natural resources and conservation,,3,13762,1.3,9807,1.1,3955,2.1,936,0.5,605,0.8
10740,r023,All individuals -> Science -> Physical sciences,All individuals,Science,Physical sciences,,3,44092,0.9,6256,2.2,37836,0.6,6877,0.3,2894,0.3
10740,r024,All individuals -> Science -> Psychology,All individuals,Science,Psychology,,3,69442,1.1,48321,1.2,21121,1.0,1308,0.0,786,0.4
10740,r025,All individuals -> Science -> Social sciences,All individuals,Science,Social sciences,,3,78717,0.9,44701,1.1,34016,0.6,1666,0.1,1726,0.4
10740,r026,All individuals -> Engineering,All individuals,Engineering,,,2,176000,0.6,103020,0.5,72980,0.7,8335,0.2,4355,0.4
10740,r027,"All individuals -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All individuals,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,8095,0.0,5263,0.0,2832,0.0,244,0.0,153,0.0
10740,r028,"All individuals -> Engineering -> Biological, biomedical, and biosystems engineering",All individuals,Engineering,"Biological, biomedical, and biosystems engineering",,3,14442,0.1,5177,0.3,9265,0.05,1540,0.0,685,0.0
10740,r029,"All individuals -> Engineering -> Chemical, petroleum, and chemical-related engineering",All individuals,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,10601,0.3,3011,0.6,7590,0.1,1239,0.1,313,0.0
10740,r030,"All individuals -> Engineering -> Civil, environmental, transportation and related engineering fields",All individuals,Engineering,"Civil, environmental, transportation and related engineering fields",,3,20375,0.2,12621,0.2,7754,0.2,1018,0.3,569,0.4
10740,r031,"All individuals -> Engineering -> Electrical, electronics, communications and computer engineering",All individuals,Engineering,"Electrical, electronics, communications and computer engineering",,3,49901,0.5,32316,0.4,17585,0.9,1217,0.4,734,0.0
10740,r032,"All individuals -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All individuals,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,16435,0.4,12579,0.2,3856,1.2,143,0.0,197,0.0
10740,r033,All individuals -> Engineering -> Mechanical engineering,All individuals,Engineering,Mechanical engineering,,3,27552,0.3,16029,0.3,11523,0.3,1189,0.3,527,0.0
10740,r034,"All individuals -> Engineering -> Metallurgical, mining, materials and related engineering fields",All individuals,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,7118,0.2,2545,0.2,4573,0.2,542,0.0,280,0.0
10740,r035,All individuals -> Engineering -> Other engineering,All individuals,Engineering,Other engineering,,3,21481,2.2,13479,1.9,8002,2.7,1203,0.3,897,1.8
10740,r036,All individuals -> Health,All individuals,Health,,,2,84368,1.2,66308,1.2,18060,1.2,17742,0.3,8501,0.4
10740,r037,All individuals -> Health -> Clinical medicine<sup>b</sup>,All individuals,Health,Clinical medicine<sup>b</sup>,,3,39217,1.1,33251,1.0,5966,1.5,15630,0.05,7351,0.1
10740,r038,All individuals -> Health -> Other health,All individuals,Health,Other health,,3,45151,1.3,33057,1.5,12094,1.0,2112,2.0,1150,1.7
10740,r039,All individuals -> Black or African American individuals,All individuals,Black or African American individuals,,,2,,,,,,,,,,
10740,r040,All individuals -> Black or African American individuals -> Male,All individuals,Black or African American individuals,Male,,3,16111,8.1,11295,8.0,4816,8.6,467,4.3,na,na
10740,r041,All individuals -> Black or African American individuals -> Female,All individuals,Black or African American individuals,Female,,3,27905,8.9,20103,9.2,7802,8.2,674,4.5,na,na
10740,r042,All individuals -> Black or African American individuals -> Science,All individuals,Black or African American individuals,Science,,3,29714,9.2,20810,9.4,8904,8.7,572,3.0,na,na
10740,r043,All individuals -> Black or African American individuals -> Science -> Agricultural and veterinary sciences,All individuals,Black or African American individuals,Science,Agricultural and veterinary sciences,4,457,44.9,364,50.5,93,22.6,33,3.0,na,na
