table_id,row_id,stem_education,best_in_the_world,above_average,average,below_average
10537,r001,"In grades K–12 (n = 1,502)",0.8,1.3,1.5,1.4
10537,r002,"In colleges and universities (n = 1,502)",1.0,1.4,1.5,1.0
