table_id,row_id,funders_business_activity_sup_a_sup_full_path,funders_business_activity_sup_a_sup_level_1,funders_business_activity_sup_a_sup_level_2,funders_business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
2071,r001,All business activities,All business activities,,1,21100–81000,"['35,897', '  ']"
2071,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['0 - 1,454', 'i ']"
2071,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['1', 'i ']"
2071,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['240', '  ']"
2071,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['4', '  ']"
2071,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['18', '  ']"
2071,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['212', '  ']"
2071,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['113', '  ']"
2071,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['*', '  ']"
2071,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['1', '  ']"
2071,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['5', '  ']"
2071,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1', '  ']"
2071,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['10', '  ']"
2071,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['6', '  ']"
2071,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['0', '  ']"
2071,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['10', '  ']"
2071,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['70', '  ']"
2071,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['3', 'i ']"
2071,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['0 - 1,454', 'i ']"
2071,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['14,352', '  ']"
2071,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['22', '  ']"
2071,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['5,888', '  ']"
2071,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['189', '  ']"
2071,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['17', '  ']"
2071,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['32', '  ']"
2071,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['2', 'i ']"
2071,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['8', 'i ']"
2071,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['1', 'i ']"
