table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3410,r001,All functions conducting R&D,All functions conducting R&D,,1,39352,43351,40573,10.2,-6.4
3410,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,2613,2746,2495,5.1,-9.2
3410,r003,All functions conducting R&D -> Health<sup>b</sup>,All functions conducting R&D,Health<sup>b</sup>,2,19056,20457,19128,7.4,-6.5
3410,r004,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,10177,10647,9752,4.6,-8.4
3410,r005,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,4948,6880,6110,39.0,-11.2
3410,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,49,51,575,4.3,1032.5
3410,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,330,335,272,1.8,-19.0
3410,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,965,1013,1050,5.0,3.7
3410,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,0,16,18,--,12.5
3410,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,600,559,576,-6.8,3.0
3410,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,233,242,208,4.1,-14.0
3410,r012,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,52,57,37,9.6,-35.1
3410,r013,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,329,346,351,5.2,1.4
3410,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0,0,0,--,--
3410,r015,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,2,2,2,0.0,0.0
3410,r016,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0,0,0,--,--
3410,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0,0,0,--,--
