table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
5215,r001,United States<sup>a</sup>,United States<sup>a</sup>,,,1,692719374,297266219,344489185,8539006,14464456,24437440,3523068
5215,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,,2,13704571,2080826,11217850,143552,75472,770,186101
5215,r003,"United States<sup>a</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>a</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,280032,208057,71205,0,0,770,0
5215,r004,"United States<sup>a</sup> -> Alabama -> Education, Department of",United States<sup>a</sup>,Alabama,"Education, Department of",3,9104650,0,9104650,0,0,0,0
5215,r005,"United States<sup>a</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>a</sup>,Alabama,"Forensic Sciences, Department of",3,262993,0,262993,0,0,0,0
5215,r006,United States<sup>a</sup> -> Alabama -> Geological Survey,United States<sup>a</sup>,Alabama,Geological Survey,3,2470957,738855,1558673,143552,29877,0,0
5215,r007,"United States<sup>a</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>a</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,1585939,1133914,220329,0,45595,0,186101
5215,r008,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,,2,10745451,3001085,5608966,2135400,0,0,0
5215,r009,"United States<sup>a</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>a</sup>,Alaska,"Environmental Conservation, Department of ",3,19763,4941,14822,0,0,0,0
5215,r010,"United States<sup>a</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>a</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,8878600,2100200,4643000,2135400,0,0,0
5215,r011,United States<sup>a</sup> -> Alaska -> Railroad Corporation,United States<sup>a</sup>,Alaska,Railroad Corporation,3,1712088,787944,924144,0,0,0,0
5215,r012,"United States<sup>a</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>a</sup>,Alaska,"Transportation and Public Facilities, Department of",3,135000,108000,27000,0,0,0,0
5215,r013,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,,2,1562435,948582,596621,0,14232,0,3000
5215,r014,United States<sup>a</sup> -> Arizona -> Game and Fish Department,United States<sup>a</sup>,Arizona,Game and Fish Department,3,1002814,948582,37000,0,14232,0,3000
5215,r015,"United States<sup>a</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>a</sup>,Arizona,"Juvenile Corrections, Department of ",3,559621,0,559621,0,0,0,0
5215,r016,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,,2,189018,55137,133881,0,0,0,0
5215,r017,United States<sup>a</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>a</sup>,Arkansas,Natural Heritage Commission,3,142678,18065,124613,0,0,0,0
5215,r018,"United States<sup>a</sup> -> Arkansas -> Transportation, Department of",United States<sup>a</sup>,Arkansas,"Transportation, Department of",3,46340,37072,9268,0,0,0,0
5215,r019,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,,2,81087677,5573168,74760962,728547,0,0,25000
5215,r020,United States<sup>a</sup> -> California -> Air Resources Board,United States<sup>a</sup>,California,Air Resources Board,3,10222932,0,10222932,0,0,0,0
5215,r021,"United States<sup>a</sup> -> California -> Conservation, Department of",United States<sup>a</sup>,California,"Conservation, Department of",3,398000,70000,228000,75000,0,0,25000
5215,r022,United States<sup>a</sup> -> California -> Earthquake Authority,United States<sup>a</sup>,California,Earthquake Authority,3,500000,0,0,500000,0,0,0
5215,r023,United States<sup>a</sup> -> California -> Energy Commission,United States<sup>a</sup>,California,Energy Commission,3,19478336,0,19478336,0,0,0,0
5215,r024,"United States<sup>a</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>a</sup>,California,"Environmental Health Hazard Assessment, Office of",3,17372704,0,17372704,0,0,0,0
5215,r025,"United States<sup>a</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>a</sup>,California,"Forestry and Fire Protection, Department of",3,500000,0,500000,0,0,0,0
5215,r026,"United States<sup>a</sup> -> California -> Motor Vehicles, Department of",United States<sup>a</sup>,California,"Motor Vehicles, Department of",3,1401521,52964,1195010,153547,0,0,0
5215,r027,"United States<sup>a</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>a</sup>,California,"Pesticide Regulation, Department of ",3,10404433,0,10404433,0,0,0,0
5215,r028,"United States<sup>a</sup> -> California -> Public Health, Department of",United States<sup>a</sup>,California,"Public Health, Department of",3,1351,169,1182,0,0,0,0
