table_id,row_id,ethnicity_race_and_citizenship_status_full_path,ethnicity_race_and_citizenship_status_level_1,ethnicity_race_and_citizenship_status_level_2,ethnicity_race_and_citizenship_status_level_3,ethnicity_race_and_citizenship_status_level_4,ethnicity_race_and_citizenship_status_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1744,r001,All doctorate recipients,All doctorate recipients,,,,1,26331,25524,26188,27362,28326,29009,29535,29568,29085,29798
1744,r002,All doctorate recipients -> U.S. citizen or permanent resident,All doctorate recipients,U.S. citizen or permanent resident,,,2,15508,15275,15396,16072,16550,16660,17219,17528,17554,17335
1744,r003,All doctorate recipients -> Temporary visa holder,All doctorate recipients,Temporary visa holder,,,2,9564,8768,9179,9556,10103,10204,10395,10670,10602,11322
1744,r004,All doctorate recipients -> Unknown citizenship,All doctorate recipients,Unknown citizenship,,,2,1259,1481,1613,1734,1673,2145,1921,1370,929,1141
1744,r005,All doctorate recipients -> Hispanic or Latino,All doctorate recipients,Hispanic or Latino,,,2,1450,1383,1494,1549,1523,1588,1758,1766,1805,1872
1744,r006,All doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,All doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,853,815,893,948,905,999,1119,1134,1153,1202
1744,r007,All doctorate recipients -> Hispanic or Latino -> Temporary visa holder,All doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,595,563,598,599,612,580,634,630,633,667
1744,r008,All doctorate recipients -> Hispanic or Latino -> Unknown citizenship,All doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,2,5,3,2,6,9,5,2,19,3
1744,r009,All doctorate recipients -> Not Hispanic or Latino,All doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,
1744,r010,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,60,64,56,42,62,54,64,63,49,44
1744,r011,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,56,58,50,41,56,49,58,57,48,43
1744,r012,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,,6,,,,,,6,,
1744,r013,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,,0,,,,,,0,,
