table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_hierarchy_depth,field_total_number_,field_highest_degree_in_s_e_field,field_highest_degree_in_s_e_related_field,field_a_degree_in_s_e_or_s_e_related_field_but_not_highest,field_no_degrees_in_s_e_or_s_e_related_fields
10994,r001,All occupations,All occupations,,,1,51525300,31.9,14.8,7.3,45.9
10994,r002,All occupations -> S&E occupations,All occupations,S&E occupations,,2,7878300,77.0,5.3,4.7,12.9
10994,r003,All occupations -> S&E occupations -> Computer and mathematical scientists,All occupations,S&E occupations,Computer and mathematical scientists,3,4026800,70.9,4.5,4.8,19.8
10994,r004,"All occupations -> S&E occupations -> Biological, agricultural, and environmental life scientists",All occupations,S&E occupations,"Biological, agricultural, and environmental life scientists",3,793500,82.5,12.0,2.6,2.9
10994,r005,All occupations -> S&E occupations -> Physical scientists,All occupations,S&E occupations,Physical scientists,3,407600,91.7,3.2,2.8,2.3
10994,r006,All occupations -> S&E occupations -> Social scientists,All occupations,S&E occupations,Social scientists,3,709000,70.4,6.9,7.8,14.8
10994,r007,All occupations -> S&E occupations -> Engineers,All occupations,S&E occupations,Engineers,3,1941400,86.8,4.2,4.8,4.2
10994,r008,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,2,9489800,25.9,57.3,4.1,12.7
10994,r009,All occupations -> STEM middle-skill and non-STEM occupations,All occupations,STEM middle-skill and non-STEM occupations,,2,34157100,23.2,5.2,8.8,62.8
