table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_level_6,industry_hierarchy_depth,field_naics_code,field_active_reporting_unitsa,field_reporting_units_that_met_the_response_criteriab,field_reporting_units_that_met_the_response_criteria_
800,r056,All companies -> All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All companies,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,6,5112,622,445,71.5
800,r057,All companies -> All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All companies,All industries,Nonmanufacturing industries,Information,Telecommunications,,5,517,397,313,78.8
800,r058,"All companies -> All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All companies,All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,5,518,767,577,75.2
800,r059,All companies -> All industries -> Nonmanufacturing industries -> Information -> Other information,All companies,All industries,Nonmanufacturing industries,Information,Other information,,5,other 51,436,321,73.6
800,r060,All companies -> All industries -> Nonmanufacturing industries -> Finance and insurance,All companies,All industries,Nonmanufacturing industries,Finance and insurance,,,4,52,987,817,82.8
800,r061,All companies -> All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All companies,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,4,53,553,445,80.5
800,r062,All companies -> All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All companies,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,5,533,86,65,75.6
800,r063,All companies -> All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All companies,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,5,other 53,467,380,81.4
800,r064,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,4,54,7329,5844,79.7
800,r065,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,5,5413,1397,1169,83.7
800,r066,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,5,5415,1888,1455,77.1
800,r067,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,5,5417,2151,1656,77.0
800,r068,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,6,541711,543,412,75.9
800,r069,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",6,541712,1435,1101,76.7
800,r070,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,6,541720,173,143,82.7
800,r071,"All companies -> All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All companies,All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,5,other 54,1893,1564,82.6
800,r072,All companies -> All industries -> Nonmanufacturing industries -> Health care services,All companies,All industries,Nonmanufacturing industries,Health care services,,,4,621–23,1542,1265,82.0
800,r073,All companies -> All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All companies,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,4,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81",5058,4081,80.7
800,r074,Form BRDI-1 companies,Form BRDI-1 companies,,,,,,1,,,,
800,r075,Form BRDI-1 companies -> All industries,Form BRDI-1 companies,All industries,,,,,2,"21–23, 31–33, 42–81",6607,5282,79.9
800,r076,Form BRDI-1 companies -> All industries -> Manufacturing industries,Form BRDI-1 companies,All industries,Manufacturing industries,,,,3,31–33,3935,3213,81.7
800,r077,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Food,Form BRDI-1 companies,All industries,Manufacturing industries,Food,,,4,311,164,129,78.7
800,r078,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Beverages and tobacco products,Form BRDI-1 companies,All industries,Manufacturing industries,Beverages and tobacco products,,,4,312,24,22,91.7
800,r079,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Textiles, apparel, and leather products",Form BRDI-1 companies,All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,4,313–16,63,55,87.3
800,r080,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Wood products,Form BRDI-1 companies,All industries,Manufacturing industries,Wood products,,,4,321,19,17,89.5
800,r081,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Paper,Form BRDI-1 companies,All industries,Manufacturing industries,Paper,,,4,322,40,33,82.5
800,r082,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Printing and related support activities,Form BRDI-1 companies,All industries,Manufacturing industries,Printing and related support activities,,,4,323,38,28,73.7
800,r083,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Petroleum and coal products,Form BRDI-1 companies,All industries,Manufacturing industries,Petroleum and coal products,,,4,324,20,18,90.0
800,r084,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Chemicals,Form BRDI-1 companies,All industries,Manufacturing industries,Chemicals,,,4,325,813,681,83.8
800,r085,Form BRDI-1 companies -> All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,Form BRDI-1 companies,All industries,Manufacturing industries,Chemicals,Basic chemicals,,5,3251,136,116,85.3
800,r086,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",Form BRDI-1 companies,All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,5,3252,58,43,74.1
800,r087,"Form BRDI-1 companies -> All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",Form BRDI-1 companies,All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,5,3253,21,20,95.2
