table_id,row_id,technology,companies_number_,in_use,in_testing_but_not_in_use,not_in_use_nor_testing,don_t_know,did_not_answer
9053,r001,Augmented reality,"['4,426,519', '&nbsp;']","['0.3', '&nbsp;']","['0.3', '&nbsp;']","['83.6', '&nbsp;']","['15.6', '&nbsp;']","['0.3', '&nbsp;']"
9053,r002,Automated guided vehicles (AGV) or AGV systems,"['4,426,519', '&nbsp;']","['0.3', '&nbsp;']","['0.2', '&nbsp;']","['85.8', '&nbsp;']","['13.4', '&nbsp;']","['0.3', '&nbsp;']"
9053,r003,Machine learning,"['4,426,519', '&nbsp;']","['1.1', '&nbsp;']","['0.6', '&nbsp;']","['84.7', '&nbsp;']","['13.4', '&nbsp;']","['0.3', '&nbsp;']"
9053,r004,Machine vision software,"['4,426,519', '&nbsp;']","['0.5', '&nbsp;']","['0.3', '&nbsp;']","['85.4', '&nbsp;']","['13.4', '&nbsp;']","['0.3', '&nbsp;']"
9053,r005,Natural language processing,"['4,426,519', '&nbsp;']","['0.6', '&nbsp;']","['0.3', '&nbsp;']","['85.4', '&nbsp;']","['13.4', '&nbsp;']","['0.3', '&nbsp;']"
9053,r006,Radio-frequency identification (RFID) system,"['4,426,519', '&nbsp;']","['0.7', '&nbsp;']","['0.2', '&nbsp;']","['85.4', '&nbsp;']","['13.4', '&nbsp;']","['0.3', '&nbsp;']"
9053,r007,Robotics,"['4,426,519', '&nbsp;']","['0.7', '&nbsp;']","['0.2', '&nbsp;']","['86.2', '&nbsp;']","['12.6', '&nbsp;']","['0.3', '&nbsp;']"
9053,r008,"Touchscreens/ kiosks for customer interface (examples: self-checkout, self-check-in, touchscreen ordering)","['4,426,519', '&nbsp;']","['4.4', '&nbsp;']","['0.8', '&nbsp;']","['82.3', '&nbsp;']","['12.2', '&nbsp;']","['0.3', '&nbsp;']"
9053,r009,Voice recognition software,"['4,426,519', '&nbsp;']","['1.5', '&nbsp;']","['0.5', '&nbsp;']","['85.3', '&nbsp;']","['12.4', '&nbsp;']","['0.3', '&nbsp;']"
9053,r010,"Additive manufacturing (3D printing), including prototyping","['4,426,519', '&nbsp;']","['0.8', '&nbsp;']","['0.4', '&nbsp;']","['85.9', '&nbsp;']","['12.7', '&nbsp;']","['0.3', '&nbsp;']"
