table_id,row_id,ethnicity_race_and_citizenship_status_full_path,ethnicity_race_and_citizenship_status_level_1,ethnicity_race_and_citizenship_status_level_2,ethnicity_race_and_citizenship_status_level_3,ethnicity_race_and_citizenship_status_level_4,ethnicity_race_and_citizenship_status_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1743,r001,All doctorate recipients,All doctorate recipients,,,,1,49552,48028,48910,50943,52703,53989,54889,54798,54559,55195
1743,r002,All doctorate recipients -> U.S. citizen or permanent resident,All doctorate recipients,U.S. citizen or permanent resident,,,2,32327,31602,31725,32981,33964,34004,35071,35671,35738,35404
1743,r003,All doctorate recipients -> Temporary visa holder,All doctorate recipients,Temporary visa holder,,,2,14736,13636,14235,14784,15674,15839,16129,16474,16290,17604
1743,r004,All doctorate recipients -> Unknown citizenship,All doctorate recipients,Unknown citizenship,,,2,2489,2790,2950,3178,3065,4146,3689,2653,2531,2187
1743,r005,All doctorate recipients -> Hispanic or Latino,All doctorate recipients,Hispanic or Latino,,,2,2815,2702,2915,3064,3073,3147,3421,3572,3566,3603
1743,r006,All doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,All doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,1880,1842,1989,2144,2135,2190,2448,2548,2537,2582
1743,r007,All doctorate recipients -> Hispanic or Latino -> Temporary visa holder,All doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,924,849,922,916,921,944,964,1016,996,1017
1743,r008,All doctorate recipients -> Hispanic or Latino -> Unknown citizenship,All doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,11,11,4,4,17,13,9,8,33,4
1743,r009,All doctorate recipients -> Not Hispanic or Latino,All doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,
1743,r010,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,138,129,135,107,126,109,141,136,111,116
1743,r011,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,132,117,127,104,119,103,131,128,109,115
1743,r012,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,6,12,8,,7,6,10,8,,
1743,r013,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,0,0,0,,0,0,0,0,,
1743,r014,All doctorate recipients -> Not Hispanic or Latino -> Asian,All doctorate recipients,Not Hispanic or Latino,Asian,,3,12131,11583,12311,12850,13430,13556,13834,14048,14262,14815
1743,r015,All doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,2612,2738,2832,2943,2892,2881,3073,3082,3499,3305
1743,r016,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,9504,8822,9451,9889,10514,10662,10741,10929,10733,11475
1743,r017,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,15,23,28,18,24,13,20,37,30,35
1743,r018,All doctorate recipients -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Not Hispanic or Latino,Black or African American,,3,2617,2380,2313,2528,2655,2654,2773,2866,2951,3058
