table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_employees_total,field_employees_r_d
9705,r001,Total,Total,,,1,"['11,920', '  ']","['1,029', '  ']"
9705,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['47', '  ']","['5', 'i ']"
9705,r003,Total -> Canada,Total,Canada,,2,"['596', '  ']","['66', '  ']"
9705,r004,Total -> Latin America and other Western Hemisphere<sup>b</sup>,Total,Latin America and other Western Hemisphere<sup>b</sup>,,2,"['1,991', '  ']","['46', '  ']"
9705,r005,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Argentina,Total,Latin America and other Western Hemisphere<sup>b</sup>,Argentina,3,"['74', '  ']","['4', '  ']"
9705,r006,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Brazil,Total,Latin America and other Western Hemisphere<sup>b</sup>,Brazil,3,"['375', '  ']","['13', '  ']"
9705,r007,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Chile,Total,Latin America and other Western Hemisphere<sup>b</sup>,Chile,3,"['47', '  ']","['1', '  ']"
9705,r008,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Mexico,Total,Latin America and other Western Hemisphere<sup>b</sup>,Mexico,3,"['1,182', '  ']","['20', '  ']"
9705,r009,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Other Latin American and Western Hemisphere locations,Total,Latin America and other Western Hemisphere<sup>b</sup>,Other Latin American and Western Hemisphere locations,3,"['313', '  ']","['9', '  ']"
9705,r010,Total -> Africa,Total,Africa,,2,"['135', '  ']","['6', '  ']"
9705,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['63', '  ']","['4', '  ']"
9705,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['72', '  ']","['1', '  ']"
9705,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['3,529', '  ']","['477', '  ']"
9705,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['154', '  ']","['15', '  ']"
9705,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['982', '  ']","['93', '  ']"
9705,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['48', '  ']","['2', '  ']"
9705,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['1,134', '  ']","['270', '  ']"
9705,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['87', '  ']","['1', '  ']"
9705,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['256', '  ']","['23', '  ']"
