table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4321,r001,All states and outlying areas,All states and outlying areas,,,1,38084768.1,35125460.1,593658.8,6103.3,1802625.2,96092.7,460827.9
4321,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,540544.4,491035.2,2089.0,0.0,39735.3,722.4,6962.5
4321,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,6589.5,3271.2,0.0,0.0,1224.8,0.0,2093.4
4321,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,3038.9,2122.4,0.0,0.0,916.5,0.0,0.0
4321,r005,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,52110.4,40829.9,1523.6,0.0,7308.3,0.0,2448.6
4321,r006,All states and outlying areas -> Alabama -> Gadsden State Community C.,All states and outlying areas,Alabama,Gadsden State Community C.,3,435.2,87.0,0.0,0.0,348.1,0.0,0.0
4321,r007,"All states and outlying areas -> Alabama -> Lawson State Community C., Birmingham",All states and outlying areas,Alabama,"Lawson State Community C., Birmingham",3,369.1,73.8,0.0,0.0,295.3,0.0,0.0
4321,r008,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,1315.0,1315.0,0.0,0.0,0.0,0.0,0.0
4321,r009,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,205.8,205.8,0.0,0.0,0.0,0.0,0.0
4321,r010,All states and outlying areas -> Alabama -> Troy U.,All states and outlying areas,Alabama,Troy U.,3,2914.0,2914.0,0.0,0.0,0.0,0.0,0.0
4321,r011,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,9976.3,6667.3,0.0,0.0,1636.2,10.0,1662.8
4321,r012,"All states and outlying areas -> Alabama -> U. Alabama, Birmingham",All states and outlying areas,Alabama,"U. Alabama, Birmingham",3,364763.4,348770.2,16.5,0.0,14865.9,548.3,562.5
4321,r013,"All states and outlying areas -> Alabama -> U. Alabama, Huntsville",All states and outlying areas,Alabama,"U. Alabama, Huntsville",3,44785.2,43995.6,0.0,0.0,594.5,0.0,195.2
