table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
12536,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,3034601074,742245878,2292355196
12536,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,83778649,16054899,67723750
12536,r003,"United States<sup>b</sup> -> Alabama -> Commerce, Department of",United States<sup>b</sup>,Alabama,"Commerce, Department of",3,54419133,0,54419133
12536,r004,"United States<sup>b</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>b</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,2637830,1856812,781018
12536,r005,"United States<sup>b</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>b</sup>,Alabama,"Economic and Community Affairs, Department of",3,3255511,0,3255511
12536,r006,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,6883453,6042815,840638
12536,r007,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,231757,0,231757
12536,r008,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,2971380,1142154,1829226
12536,r009,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3913492,3427418,486074
12536,r010,United States<sup>b</sup> -> Alabama -> Supercomputer Authority,United States<sup>b</sup>,Alabama,Supercomputer Authority,3,4204072,0,4204072
12536,r011,"United States<sup>b</sup> -> Alabama -> Transportation, Department of",United States<sup>b</sup>,Alabama,"Transportation, Department of",3,5262021,3585700,1676321
12536,r012,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,19451112,7296267,12154845
12536,r013,United States<sup>b</sup> -> Alaska -> Energy Authority,United States<sup>b</sup>,Alaska,Energy Authority,3,242896,0,242896
12536,r014,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,192715,121140,71575
12536,r015,United States<sup>b</sup> -> Alaska -> Housing Finance Corporation,United States<sup>b</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000
12536,r016,"United States<sup>b</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>b</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,12212300,2727100,9485200
12536,r017,United States<sup>b</sup> -> Alaska -> Railroad Corporation,United States<sup>b</sup>,Alaska,Railroad Corporation,3,3098866,2817838,281028
12536,r018,United States<sup>b</sup> -> Alaska -> Seafood Marketing Institute,United States<sup>b</sup>,Alaska,Seafood Marketing Institute,3,74015,37804,36211
12536,r019,"United States<sup>b</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>b</sup>,Alaska,"Transportation and Public Facilities, Department of",3,3130320,1592385,1537935
12536,r020,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,,2,14011612,4679113,9332499
12536,r021,"United States<sup>b</sup> -> Arizona -> Agriculture, Department of",United States<sup>b</sup>,Arizona,"Agriculture, Department of",3,1943155,1811144,132011
12536,r022,United States<sup>b</sup> -> Arizona -> Deaf and Hard of Hearing,United States<sup>b</sup>,Arizona,Deaf and Hard of Hearing,3,115000,0,115000
12536,r023,United States<sup>b</sup> -> Arizona -> Game and Fish Department,United States<sup>b</sup>,Arizona,Game and Fish Department,3,1419872,1153022,266850
12536,r024,"United States<sup>b</sup> -> Arizona -> Health Services, Department of",United States<sup>b</sup>,Arizona,"Health Services, Department of",3,7868651,0,7868651
