table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_level_5,field_of_study_and_sex_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_tenured_median_salary,field_tenured_se,field_not_tenured_on_tenure_track_median_salary,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_median_salary,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_median_salary,field_tenure_not_applicable_se
8153,r001,All fields,All fields,,,,,1,99000,1000,115000,1000,90000,500,78000,2000,80000,1500
8153,r002,All fields -> Male,All fields,Male,,,,2,102000,1500,120000,500,93000,2000,77000,2500,81000,2000
8153,r003,All fields -> Female,All fields,Female,,,,2,90000,500,106000,2500,85000,1500,80000,2000,76000,1500
8153,r004,All fields -> Science,All fields,Science,,,,2,95000,1000,110000,1500,88000,1500,75000,500,77000,1500
8153,r005,All fields -> Science -> Male,All fields,Science,Male,,,3,100000,500,116000,2000,92000,2000,75000,2000,80000,1000
8153,r006,All fields -> Science -> Female,All fields,Science,Female,,,3,89000,1000,105000,2000,82000,1500,75000,1000,75000,1500
8153,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,94000,2000,120000,2500,95000,1500,72000,3500,70000,500
8153,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,,4,100000,1500,124000,4500,100000,1500,72000,3000,70000,3000
8153,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,,4,85000,1500,116000,5500,86000,3500,74000,3500,69000,2000
8153,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,95000,4000,118000,7500,80000,1500,69000,3000,69000,3000
8153,r011,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Male,5,103000,3500,119000,5500,83000,3500,70000,6000,72000,13000
8153,r012,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Female,5,78000,4000,110000,3000,75000,3000,67000,6500,61000,4500
8153,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,,4,95000,4000,136000,9000,97000,8000,65000,5500,66000,6500
8153,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Male,5,101000,5000,140000,14500,99000,9000,63000,4000,67000,10000
8153,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Female,5,79000,3500,108000,17500,92000,21500,76000,17000,65000,6000
8153,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",,4,91000,4500,131000,10500,94000,6000,79000,6000,70000,4500
8153,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",Male,5,100000,4500,136000,17000,102000,4000,85000,2500,74000,8500
8153,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",Female,5,80000,4500,130000,13000,76000,9000,68000,7500,67000,4500
8153,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,,4,95000,4500,117000,7500,98000,3000,79000,9500,75000,5000
8153,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Male,5,107000,9000,132000,24000,101000,6500,90000,15500,81000,5500
8153,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Female,5,82000,5000,108000,8000,75000,12500,74000,8500,70000,5000
8153,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,,4,83000,3500,100000,2500,83000,3000,71000,4500,67000,5000
