table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11356,r001,All women's colleges and universities,All women's colleges and universities,,1,17318,13572,0,0,3746,0
11356,r002,All women's colleges and universities -> Spelman C.,All women's colleges and universities,Spelman C.,2,4284,3582,0,0,703,0
11356,r003,All women's colleges and universities -> Wellesley C.,All women's colleges and universities,Wellesley C.,2,2656,2624,0,0,32,0
11356,r004,All women's colleges and universities -> Bryn Mawr C.,All women's colleges and universities,Bryn Mawr C.,2,2156,1036,0,0,1120,0
11356,r005,All women's colleges and universities -> Smith C.,All women's colleges and universities,Smith C.,2,2049,2037,0,0,12,0
11356,r006,All women's colleges and universities -> Barnard C.,All women's colleges and universities,Barnard C.,2,1854,1827,0,0,27,0
11356,r007,All women's colleges and universities -> Mount Saint Mary's U.,All women's colleges and universities,Mount Saint Mary's U.,2,1496,374,0,0,1122,0
11356,r008,All women's colleges and universities -> Mount Holyoke C.,All women's colleges and universities,Mount Holyoke C.,2,997,979,0,0,18,0
11356,r009,All women's colleges and universities -> Bay Path U.,All women's colleges and universities,Bay Path U.,2,633,0,0,0,633,0
11356,r010,All women's colleges and universities -> St. Catherine U.,All women's colleges and universities,St. Catherine U.,2,405,399,0,0,6,0
11356,r011,All women's colleges and universities -> Scripps C.,All women's colleges and universities,Scripps C.,2,403,403,0,0,0,0
11356,r012,"All women's colleges and universities -> Bennett C., Greensboro",All women's colleges and universities,"Bennett C., Greensboro",2,293,293,0,0,0,0
11356,r013,All women's colleges and universities -> Hollins U.,All women's colleges and universities,Hollins U.,2,75,1,0,0,73,0
11356,r014,"All women's colleges and universities -> Saint Mary's C., Notre Dame",All women's colleges and universities,"Saint Mary's C., Notre Dame",2,16,16,0,0,0,0
