table_id,row_id,region_country_or_economy_and_field_full_path,region_country_or_economy_and_field_level_1,region_country_or_economy_and_field_level_2,region_country_or_economy_and_field_level_3,region_country_or_economy_and_field_level_4,region_country_or_economy_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1571,r001,Argentina,Argentina,,,,1,,,,,,,,,,,,,,,,,
1571,r002,Argentina -> All fields,Argentina,All fields,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79533,80296,82919,76413,76413,88639,NA
1571,r003,Argentina -> All fields -> S&E fields,Argentina,All fields,S&E fields,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24940,25868,27543,16192,16192,30072,NA
1571,r004,Argentina -> All fields -> S&E fields -> Physical and biological sciences and mathematics and statistics,Argentina,All fields,S&E fields,Physical and biological sciences and mathematics and statistics,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2713,2830,2832,4686,4686,3448,NA
1571,r005,Argentina -> All fields -> S&E fields -> Computer sciences,Argentina,All fields,S&E fields,Computer sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2385,2367,2482,NA,NA,2120,NA
1571,r006,Argentina -> All fields -> S&E fields -> Agricultural sciences,Argentina,All fields,S&E fields,Agricultural sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2586,3023,2968,3273,3273,2893,NA
1571,r007,Argentina -> All fields -> S&E fields -> Social and behavioral sciences,Argentina,All fields,S&E fields,Social and behavioral sciences,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10312,10400,11004,NA,NA,11643,NA
1571,r008,Argentina -> All fields -> S&E fields -> Engineering,Argentina,All fields,S&E fields,Engineering,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6944,7248,8257,8233,8233,9968,NA
1571,r009,Australia,Australia,,,,1,,,,,,,,,,,,,,,,,
1571,r010,Australia -> All fields,Australia,All fields,,,2,112745,129499,137877,152287,130298,176906,171582,176136,177155,181457,191080,196662,NA,194610,194308,192490,198097
1571,r011,Australia -> All fields -> S&E fields,Australia,All fields,S&E fields,,3,32605,37064,42598,47337,44521,53129,52411,51826,50029,48736,48947,51115,NA,53249,53884,55182,55093
