table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1395,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['83', '  ']","['56', '  ']","['28', '&nbsp;']"
1395,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['1,686', '  ']","['1,612', '  ']","['74', '&nbsp;']"
1395,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['421', 'i ']","['421', 'i ']","['0', '&nbsp;']"
1395,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['2,367', '  ']","['2,143', '  ']","['224', '&nbsp;']"
1395,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,123', '  ']","['1,897', '  ']","['225', '&nbsp;']"
1395,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['18,324', '  ']","['18,246', '  ']","['78', '&nbsp;']"
1395,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['8,184', '  ']","['8,180', '  ']","['3', 'i']"
1395,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['D', '&nbsp;']","['1,880', '  ']","['D', '&nbsp;']"
1395,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['1,799', '  ']","['1,487', '  ']","['312', '&nbsp;']"
1395,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['972', '  ']","['966', '  ']","['7', '&nbsp;']"
1395,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['31,413', '  ']","['29,530', '  ']","['1,883', '&nbsp;']"
1395,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['3,485', 'i ']","['3,305', 'i ']","['180', '&nbsp;']"
1395,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",2,33452,"['8,276', '  ']","['2,435', '  ']","['5,841', '&nbsp;']"
