table_id,row_id,_b_r_d_expenditures_and_type_of_institution_b_full_path,_b_r_d_expenditures_and_type_of_institution_b_level_1,_b_r_d_expenditures_and_type_of_institution_b_level_2,_b_r_d_expenditures_and_type_of_institution_b_level_3,_b_r_d_expenditures_and_type_of_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_r_d_expenditures_received_as_a_subrecipient_total,field_r_d_expenditures_received_as_a_subrecipient_from_higher_education_pass_through_entities,field_r_d_expenditures_received_as_a_subrecipient_from_businesses,field_r_d_expenditures_received_as_a_subrecipient_from_nonprofit_organizations,field_r_d_expenditures_received_as_a_subrecipient_from_other_pass_through_entities
10166,r001,"Total R&D, all institutions","Total R&D, all institutions",,,1,97680528,9705518,4693719,1542805,1963694,1505300
10166,r002,"Total R&D, all institutions -> Doctorate","Total R&D, all institutions",Doctorate,,2,96904532,9638214,4652449,1540582,1954715,1490468
10166,r003,"Total R&D, all institutions -> Nondoctorate","Total R&D, all institutions",Nondoctorate,,2,775996,67304,41270,2223,8979,14832
10166,r004,"Total R&D, all institutions -> Public","Total R&D, all institutions",Public,,2,63712945,6460460,2874060,1088455,1229685,1268260
10166,r005,"Total R&D, all institutions -> Private","Total R&D, all institutions",Private,,2,33967583,3245058,1819659,454350,734009,237040
10166,r006,"Total R&D, all institutions -> Federally financed R&D, all institutions","Total R&D, all institutions","Federally financed R&D, all institutions",,2,53971468,8444853,4274260,1273237,1600008,1297348
10166,r007,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Doctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Doctorate,3,53535604,8389948,4237760,1271435,1593184,1287569
10166,r008,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Nondoctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Nondoctorate,3,435864,54905,36500,1802,6824,9779
10166,r009,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Public","Total R&D, all institutions","Federally financed R&D, all institutions",Public,3,33333946,5620118,2640496,886294,983521,1109807
10166,r010,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Private","Total R&D, all institutions","Federally financed R&D, all institutions",Private,3,20637522,2824735,1633764,386943,616487,187541
