table_id,row_id,activity,2019,2020a,2021
8261,r001,Units at start of data collection,19592,20249,21156
8261,r002,Units added,4493,6328,4012
8261,r003,Units deleted,3836,5421,3803
8261,r004,Units at end of data collection,20249,21156,21365
8261,r005,Net difference,657,907,209
