table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
2086,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,475', '  ']","['1,231', '  ']","['228', '  ']","['16', '  ']","['1,023', '  ']","['885', '  ']","['130', '  ']","['9', 'i ']"
2086,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['841', '  ']","['732', '  ']","['100', '  ']","['9', '  ']","['599', '  ']","['539', '  ']","['54', '  ']","['5', 'i ']"
2086,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['19', '  ']","['17', '  ']","['2', '  ']","['1', 'i ']","['12', 'i ']","['11', 'i ']","['1', 'i ']","['*', 'i ']"
2086,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['4', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['*', '  ']"
2086,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['6', '  ']","['5', '  ']","['2', '  ']","['*', '  ']","['3', '  ']","['2', '  ']","['1', '  ']","['*', 'i ']"
2086,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2', 'i ']","['1', '  ']","['1', 'i ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
2086,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['7', '  ']","['5', '  ']","['1', '  ']","['*', '  ']","['5', '  ']","['4', '  ']","['1', '  ']","['*', '  ']"
2086,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['1', 'i ']","['1', 'i ']","['*', '  ']","['*', '  ']"
2086,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['2', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', 'i ']"
2086,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['171', '  ']","['160', '  ']","['9', '  ']","['1', '  ']","['116', '  ']","['110', '  ']","['5', '  ']","['1', '  ']"
