table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
10974,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['602,499', '  ']","['5,477', '  ']","['15,061', '  ']","['14,540', '  ']",24023,,"['23,932', '  ']","['27,432', '  ']","['94,615', '  ']","['62,817', '  ']","['104,607', '  ']","['229,995', '  ']"
10974,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['326,060', '  ']","['1,898', '  ']","['7,104', '  ']","['7,841', '  ']",11861,,"['13,782', '  ']","['15,336', '  ']","['48,714', '  ']","['38,038', '  ']","['74,022', '  ']","['107,464', '  ']"
10974,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,266', '  ']","['3', '  ']","['89', '  ']","['223', '  ']",234,,"['171', '  ']","['299', '  ']","['569', '  ']","['519', '  ']","['2,225', '  ']","['934', 'i ']"
10974,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,247', '  ']","['3', 'r ']","['15', '  ']","['23', '  ']",26,,"['19', '  ']","['18', '  ']","['175', '  ']","['305', '  ']","['66', '  ']","['595', '  ']"
10974,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['829', '  ']","['<b>*</b>', '  ']","['23', '  ']","['34', 'i ']",65,,"['19', '  ']","['54', '  ']","['182', '  ']","['209', '  ']","['242', '  ']","['0', '  ']"
10974,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['444', '  ']","['179', 'r ']","['0 - 50', '  ']","['11', '  ']",12,,"['7', '  ']","['12', '  ']","['73', '  ']","['104', '  ']","['0 - 50', '  ']","['0', '  ']"
10974,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,139', '  ']","['5', '  ']","['5', 'r ']","['6', '  ']",32,,"['28', '  ']","['19', '  ']","['197', '  ']","['78', '  ']","['349', 'i ']","['420', '  ']"
10974,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['204', 'i ']","['1', '  ']","['6', '  ']","['26', '  ']",24,,"['25', '  ']","['3', '  ']","['13', '  ']","['28', '  ']","['78', 'i ']","['0', '  ']"
10974,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['957', '  ']","['3', '  ']","['4', '  ']","['42', '  ']",15,,"['19', '  ']","['33', '  ']","['23', '  ']","['73', '  ']","['124', '  ']","['622', '  ']"
10974,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['109,490', '  ']","['736', '  ']","['3,258', '  ']","['3,839', '  ']",5448,,"['7,703', '  ']","['5,516', '  ']","['15,920', '  ']","['10,896', '  ']","['35,401', '  ']","['20,773', '  ']"
