table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_doctoral_students_rank,field_all_doctoral_students_total,field_all_doctoral_students_science,field_all_doctoral_students_engineering,field_all_doctoral_students_health,field_full_time_doctoral_students_rank,field_full_time_doctoral_students_total,field_full_time_doctoral_students_science,field_full_time_doctoral_students_engineering,field_full_time_doctoral_students_health,field_part_time_doctoral_students_rank,field_part_time_doctoral_students_total,field_part_time_doctoral_students_science,field_part_time_doctoral_students_engineering,field_part_time_doctoral_students_health
8281,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,293543,203988,72924,16631,-,256869,181488,64063,11318,-,36674,22500,8861,5313
8281,r002,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,1,4811,2849,1710,252,1,4735,2831,1652,252,133,76,18,58,0
8281,r003,"All institutions<sup>a</sup> -> U. Illinois, Urbana-Champaign",All institutions<sup>a</sup>,"U. Illinois, Urbana-Champaign",2,2,4541,2716,1733,92,2,4456,2663,1708,85,126,85,53,25,7
8281,r004,All institutions<sup>a</sup> -> Texas A&M U.,All institutions<sup>a</sup>,Texas A&M U.,2,3,4298,2428,1739,131,5,3826,2163,1552,111,11,472,265,187,20
8281,r005,All institutions<sup>a</sup> -> Purdue U.,All institutions<sup>a</sup>,Purdue U.,2,4,4165,1953,2000,212,18,3264,1647,1428,189,4,901,306,572,23
8281,r006,"All institutions<sup>a</sup> -> U. California, Berkeley",All institutions<sup>a</sup>,"U. California, Berkeley",2,5,4105,3039,1030,36,3,4105,3039,1030,36,349,0,0,0,0
8281,r007,All institutions<sup>a</sup> -> U. Wisconsin-Madison,All institutions<sup>a</sup>,U. Wisconsin-Madison,2,6,4046,2986,779,281,10,3612,2628,743,241,16,434,358,36,40
8281,r008,"All institutions<sup>a</sup> -> U. Texas, Austin",All institutions<sup>a</sup>,"U. Texas, Austin",2,7,3939,2194,1508,237,9,3662,2061,1405,196,33,277,133,103,41
8281,r009,All institutions<sup>a</sup> -> Stanford U.,All institutions<sup>a</sup>,Stanford U.,2,8,3932,2523,1357,52,4,3917,2514,1351,52,261,15,9,6,0
8281,r010,All institutions<sup>a</sup> -> Pennsylvania State U.,All institutions<sup>a</sup>,Pennsylvania State U.,2,9,3856,2477,1280,99,7,3709,2387,1241,81,72,147,90,39,18
8281,r011,"All institutions<sup>a</sup> -> U. California, Los Angeles",All institutions<sup>a</sup>,"U. California, Los Angeles",2,10,3783,2667,935,181,6,3783,2667,935,181,349,0,0,0,0
8281,r012,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,11,3754,2576,803,375,12,3561,2481,751,329,57,193,95,52,46
8281,r013,All institutions<sup>a</sup> -> Cornell U.,All institutions<sup>a</sup>,Cornell U.,2,12,3694,2840,854,0,8,3694,2840,854,0,349,0,0,0,0
8281,r014,"All institutions<sup>a</sup> -> U. Maryland, College Park",All institutions<sup>a</sup>,"U. Maryland, College Park",2,13,3653,2527,834,292,13,3435,2404,780,251,49,218,123,54,41
8281,r015,All institutions<sup>a</sup> -> Massachusetts Institute of Technology,All institutions<sup>a</sup>,Massachusetts Institute of Technology,2,14,3577,2037,1540,0,11,3571,2036,1535,0,301,6,1,5,0
