table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_expendituresa_all_r_d_expenditures,field_r_d_expendituresa_intramural_performersb,field_r_d_expendituresa_extramural_performersc_total,field_r_d_expendituresa_extramural_performersc_higher_education_institutions,field_r_d_expendituresa_extramural_performersc_companies_and_individualsd,field_r_d_expendituresa_extramural_performersc_nonprofit_organizationse,field_r_d_expendituresa_extramural_performersc_other_governmentsf,field_r_d_expendituresa_extramural_performersc_all_otherg,field_r_d_plant_expendituresh_all_r_d_plant_expenditures,field_r_d_plant_expendituresh_intramural,field_r_d_plant_expendituresh_extramural
12543,r001,United States<sup>i</sup>,United States<sup>i</sup>,,1,3034601074,741613066,2292988008,1229894644,597851734,325965825,58291567,80984238,33914350,23760554,10153796
12543,r002,United States<sup>i</sup> -> Alabama,United States<sup>i</sup>,Alabama,2,83778649,8885851,74892798,18357900,1215357,53329500,1990041,0,0,0,0
12543,r003,United States<sup>i</sup> -> Alaska,United States<sup>i</sup>,Alaska,2,19451112,14118929,5332183,707567,2698817,0,784713,1141086,0,0,0
12543,r004,United States<sup>i</sup> -> Arizona,United States<sup>i</sup>,Arizona,2,14011612,2901013,11110599,4296040,6499559,0,315000,0,0,0,0
12543,r005,United States<sup>i</sup> -> Arkansas,United States<sup>i</sup>,Arkansas,2,9521076,391998,9129078,7594303,876241,400829,257705,0,0,0,0
12543,r006,United States<sup>i</sup> -> California,United States<sup>i</sup>,California,2,594541351,97801248,496740103,218194624,143433375,64035082,15823082,55253940,0,0,0
12543,r007,United States<sup>i</sup> -> Colorado,United States<sup>i</sup>,Colorado,2,39665229,10548105,29117124,9208168,18619670,0,1186426,102860,0,0,0
12543,r008,United States<sup>i</sup> -> Connecticut,United States<sup>i</sup>,Connecticut,2,55924506,29335244,26589262,2035295,22357867,0,7875,2188225,0,0,0
12543,r009,United States<sup>i</sup> -> Delaware,United States<sup>i</sup>,Delaware,2,3584063,1600464,1983599,917009,973253,0,93337,0,0,0,0
12543,r010,United States<sup>i</sup> -> District of Columbia,United States<sup>i</sup>,District of Columbia,2,10563918,7041016,3522902,851907,270401,2046290,354304,0,0,0,0
12543,r011,United States<sup>i</sup> -> Florida,United States<sup>i</sup>,Florida,2,222882689,53921437,168961252,96667036,6012904,66211572,69740,0,6717144,6717144,0
12543,r012,United States<sup>i</sup> -> Georgia,United States<sup>i</sup>,Georgia,2,20739193,2930709,17808484,10326984,4257065,1811783,1412652,0,0,0,0
12543,r013,United States<sup>i</sup> -> Hawaii,United States<sup>i</sup>,Hawaii,2,5280407,628842,4651565,2472730,2066607,80000,32228,0,0,0,0
12543,r014,United States<sup>i</sup> -> Idaho,United States<sup>i</sup>,Idaho,2,18670602,7349090,11321512,7231429,562811,371967,2856071,299234,669265,0,669265
12543,r015,United States<sup>i</sup> -> Illinois,United States<sup>i</sup>,Illinois,2,45907372,554067,45353305,39963806,4548609,806010,34880,0,670186,335093,335093
12543,r016,United States<sup>i</sup> -> Indiana,United States<sup>i</sup>,Indiana,2,24179311,1902083,22277228,12315640,9961588,0,0,0,0,0,0
12543,r017,United States<sup>i</sup> -> Iowa,United States<sup>i</sup>,Iowa,2,9809708,1366776,8442932,7597858,818225,24154,2695,0,0,0,0
12543,r018,United States<sup>i</sup> -> Kansas,United States<sup>i</sup>,Kansas,2,10364853,2166223,8198630,6017483,154363,11248,2015536,0,0,0,0
12543,r019,United States<sup>i</sup> -> Kentucky,United States<sup>i</sup>,Kentucky,2,37765916,4842218,32923698,28970060,3952108,0,1530,0,0,0,0
12543,r020,United States<sup>i</sup> -> Louisiana,United States<sup>i</sup>,Louisiana,2,31663714,10567296,21096418,17592263,3117754,47934,258811,79656,0,0,0
12543,r021,United States<sup>i</sup> -> Maine,United States<sup>i</sup>,Maine,2,47576007,12319129,35256878,3169145,30097800,1888267,101666,0,631650,43316,588334
12543,r022,United States<sup>i</sup> -> Maryland,United States<sup>i</sup>,Maryland,2,46489603,622465,45867138,34185779,11431359,0,0,250000,0,0,0
12543,r023,United States<sup>i</sup> -> Massachusetts,United States<sup>i</sup>,Massachusetts,2,48424086,1690736,46733350,15167081,17624471,2067506,93604,11780688,4932263,100000,4832263
12543,r024,United States<sup>i</sup> -> Michigan,United States<sup>i</sup>,Michigan,2,22654435,143576,22510859,13783149,1300681,4998043,2428986,0,0,0,0
12543,r025,United States<sup>i</sup> -> Minnesota,United States<sup>i</sup>,Minnesota,2,22732170,3138073,19594097,13127427,3758666,170354,2537650,0,0,0,0
12543,r026,United States<sup>i</sup> -> Mississippi,United States<sup>i</sup>,Mississippi,2,10030897,2030108,8000789,5025882,494973,1146667,1333267,0,0,0,0
12543,r027,United States<sup>i</sup> -> Missouri,United States<sup>i</sup>,Missouri,2,17210400,4589925,12620475,6846948,5496089,171666,105772,0,0,0,0
12543,r028,United States<sup>i</sup> -> Montana,United States<sup>i</sup>,Montana,2,9956071,3806428,6149643,5275871,9055,412189,452528,0,0,0,0
12543,r029,United States<sup>i</sup> -> Nebraska,United States<sup>i</sup>,Nebraska,2,29171378,74500,29096878,25871076,3093032,112770,20000,0,0,0,0
12543,r030,United States<sup>i</sup> -> Nevada,United States<sup>i</sup>,Nevada,2,4072717,256192,3816525,2867745,69300,0,879480,0,0,0,0
12543,r031,United States<sup>i</sup> -> New Hampshire,United States<sup>i</sup>,New Hampshire,2,2521016,89546,2431470,279470,1464456,0,687544,0,0,0,0
12543,r032,United States<sup>i</sup> -> New Jersey,United States<sup>i</sup>,New Jersey,2,99832733,3917853,95914880,52920552,1556739,41432589,5000,0,0,0,0
12543,r033,United States<sup>i</sup> -> New Mexico,United States<sup>i</sup>,New Mexico,2,2337788,781067,1556721,813963,312327,30000,400431,0,0,0,0
12543,r034,United States<sup>i</sup> -> New York,United States<sup>i</sup>,New York,2,486576578,286453348,200123230,126493029,37796428,26242293,279491,9311989,7250000,7250000,0
12543,r035,United States<sup>i</sup> -> North Carolina,United States<sup>i</sup>,North Carolina,2,36106613,16335642,19770971,11297102,8030154,337015,106700,0,1000000,1000000,0
12543,r036,United States<sup>i</sup> -> North Dakota,United States<sup>i</sup>,North Dakota,2,25822123,981502,24840621,14469584,7382680,461683,2526674,0,0,0,0
12543,r037,United States<sup>i</sup> -> Ohio,United States<sup>i</sup>,Ohio,2,117471257,641094,116830163,38256245,78180697,127565,265656,0,0,0,0
12543,r038,United States<sup>i</sup> -> Oklahoma,United States<sup>i</sup>,Oklahoma,2,28885260,1434856,27450404,17955918,3764509,4062147,1667830,0,0,0,0
12543,r039,United States<sup>i</sup> -> Oregon,United States<sup>i</sup>,Oregon,2,40257488,19770459,20487029,11220208,3690000,3913105,1663716,0,0,0,0
12543,r040,United States<sup>i</sup> -> Pennsylvania,United States<sup>i</sup>,Pennsylvania,2,99487575,16987160,82500415,48476231,624184,33382908,17092,0,0,0,0
12543,r041,United States<sup>i</sup> -> Rhode Island,United States<sup>i</sup>,Rhode Island,2,4635868,236546,4399322,1889803,2199530,237000,72989,0,0,0,0
12543,r042,United States<sup>i</sup> -> South Carolina,United States<sup>i</sup>,South Carolina,2,53419952,32709409,20710543,6780967,699643,12760948,468985,0,0,0,0
12543,r043,United States<sup>i</sup> -> South Dakota,United States<sup>i</sup>,South Dakota,2,5227211,273454,4953757,3379907,1311405,37445,225000,0,500000,0,500000
12543,r044,United States<sup>i</sup> -> Tennessee,United States<sup>i</sup>,Tennessee,2,67457255,175000,67282255,8163359,59118896,0,0,0,0,0,0
12543,r045,United States<sup>i</sup> -> Texas,United States<sup>i</sup>,Texas,2,282261790,1993899,280267891,224879502,52747989,965656,1674744,0,0,0,0
12543,r046,United States<sup>i</sup> -> Utah,United States<sup>i</sup>,Utah,2,10119476,7748094,2371382,1617856,753526,0,0,0,0,0,0
12543,r047,United States<sup>i</sup> -> Vermont,United States<sup>i</sup>,Vermont,2,2833206,2163824,669382,358495,290850,20037,0,0,0,0,0
12543,r048,United States<sup>i</sup> -> Virginia,United States<sup>i</sup>,Virginia,2,57260560,20744159,36516401,17549067,14203660,551095,4068259,144320,10393687,8315001,2078686
12543,r049,United States<sup>i</sup> -> Washington,United States<sup>i</sup>,Washington,2,60479947,26263518,34216429,17661416,10027553,976419,5169251,381790,1150155,0,1150155
12543,r050,United States<sup>i</sup> -> West Virginia,United States<sup>i</sup>,West Virginia,2,8731717,4773515,3958202,3147745,51957,3500,705000,50000,0,0,0
12543,r051,United States<sup>i</sup> -> Wisconsin,United States<sup>i</sup>,Wisconsin,2,16366530,5377653,10988877,3877962,4223711,228352,2658402,450,0,0,0
12543,r052,United States<sup>i</sup> -> Wyoming,United States<sup>i</sup>,Wyoming,2,9886086,4237727,5648359,1768058,3648840,52237,179224,0,0,0,0
12543,r053,Puerto Rico<sup>j</sup>,Puerto Rico<sup>j</sup>,,1,47543226,30716521,16826705,7636361,5868235,0,3322109,0,1947876,1764602,183274
