table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
9663,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['527,804', '  ']","['4,258', '  ']","['12,626', '  ']","['12,488', '  ']","['20,030', '  ']","['20,574', '  ']","['23,655', '  ']","['83,609', '  ']","['53,873', '  ']","['84,057', '  ']","['212,634', '  ']"
9663,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['287,666', '  ']","['1,498', '  ']","['6,215', '  ']","['7,139', '  ']","['10,514', '  ']","['12,235', '  ']","['13,729', '  ']","['39,457', '  ']","['35,843', '  ']","['66,080', '  ']","['94,956', '  ']"
9663,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,963 - 4,968', '  ']","['3', '  ']","['16 - 90', '  ']","['218', '  ']","['162 - 230', '  ']","['170', '  ']","['288', '  ']","['461 - 527', '  ']","['473 - 520', '  ']","['2,037 - 2,189', '  ']","['932', 'i ']"
9663,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,228', '  ']","['3', 'r ']","['15', '  ']","['23', '  ']","['26', '  ']","['19', '  ']","['18', '  ']","['157', '  ']","['305', '  ']","['66', '  ']","['595', '  ']"
9663,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['818', '  ']","['*', '  ']","['18', '  ']","['34', 'i ']","['61', '  ']","['19', '  ']","['54', '  ']","['181', '  ']","['209', '  ']","['242', '  ']","['0', '  ']"
9663,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['433 - 442', '  ']","['179', 'r ']","['0 - 50', '  ']","['11', '  ']","['12', '  ']","['7', '  ']","['1 - 10', '  ']","['73', '  ']","['104', '  ']","['0 - 50', '  ']","['0', '  ']"
9663,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,139', '  ']","['5', '  ']","['5', 'r ']","['6', '  ']","['32', '  ']","['28', '  ']","['19', '  ']","['197', '  ']","['78', '  ']","['349', 'i ']","['420', '  ']"
9663,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['196 - 205', 'i ']","['1', '  ']","['0 - 7', '  ']","['26', '  ']","['23', '  ']","['25', '  ']","['3', '  ']","['13', '  ']","['28', '  ']","['78', 'i ']","['0', '  ']"
9663,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['952', '  ']","['3', '  ']","['4', '  ']","['42', '  ']","['15', '  ']","['19', '  ']","['33', '  ']","['23', '  ']","['68 - 74', '  ']","['119 - 125', '  ']","['621', '  ']"
9663,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['97,097', '  ']","['671', '  ']","['2,787', '  ']","['3,593', '  ']","['5,002', '  ']","['6,937', '  ']","['5,032', '  ']","['10,803', '  ']","['10,539', '  ']","['31,350', '  ']","['20,382', '  ']"
