table_id,row_id,time_period,estimates_level_1,estimates_level_2,estimates_hierarchy_depth,value
6993,r001,All doctorates,Estimates,NSF award,2,86850
6993,r002,All doctorates,Estimates,No award,2,961050
6993,r003,All doctorates,Estimates,Share (%),2,8.3
6993,r004,All doctorates,Standard errors,NSF award,2,1325
6993,r005,All doctorates,Standard errors,No award,2,1700
6993,r006,All doctorates,Standard errors,Share (%),2,0.15
6993,r007,"All doctorates -> Biological, agricultural, and environmental life sciences",Estimates,NSF award,2,18000
6993,r008,"All doctorates -> Biological, agricultural, and environmental life sciences",Estimates,No award,2,236600
6993,r009,"All doctorates -> Biological, agricultural, and environmental life sciences",Estimates,Share (%),2,7.1
6993,r010,"All doctorates -> Biological, agricultural, and environmental life sciences",Standard errors,NSF award,2,600
6993,r011,"All doctorates -> Biological, agricultural, and environmental life sciences",Standard errors,No award,2,825
6993,r012,"All doctorates -> Biological, agricultural, and environmental life sciences",Standard errors,Share (%),2,0.25
6993,r013,All doctorates -> Computer and information sciences,Estimates,NSF award,2,5200
6993,r014,All doctorates -> Computer and information sciences,Estimates,No award,2,25600
6993,r015,All doctorates -> Computer and information sciences,Estimates,Share (%),2,16.9
6993,r016,All doctorates -> Computer and information sciences,Standard errors,NSF award,2,325
6993,r017,All doctorates -> Computer and information sciences,Standard errors,No award,2,350
6993,r018,All doctorates -> Computer and information sciences,Standard errors,Share (%),2,1.05
6993,r019,All doctorates -> Mathematics and statistics,Estimates,NSF award,2,7550
6993,r020,All doctorates -> Mathematics and statistics,Estimates,No award,2,44350
6993,r021,All doctorates -> Mathematics and statistics,Estimates,Share (%),2,14.6
6993,r022,All doctorates -> Mathematics and statistics,Standard errors,NSF award,2,325
6993,r023,All doctorates -> Mathematics and statistics,Standard errors,No award,2,425
6993,r024,All doctorates -> Mathematics and statistics,Standard errors,Share (%),2,0.65
6993,r025,All doctorates -> Physical sciences,Estimates,NSF award,2,22500
6993,r026,All doctorates -> Physical sciences,Estimates,No award,2,154550
6993,r027,All doctorates -> Physical sciences,Estimates,Share (%),2,12.7
6993,r028,All doctorates -> Physical sciences,Standard errors,NSF award,2,625
6993,r029,All doctorates -> Physical sciences,Standard errors,No award,2,675
6993,r030,All doctorates -> Physical sciences,Standard errors,Share (%),2,0.35
6993,r031,All doctorates -> Psychology,Estimates,NSF award,2,3950
6993,r032,All doctorates -> Psychology,Estimates,No award,2,135600
6993,r033,All doctorates -> Psychology,Estimates,Share (%),2,2.8
6993,r034,All doctorates -> Psychology,Standard errors,NSF award,2,250
6993,r035,All doctorates -> Psychology,Standard errors,No award,2,500
6993,r036,All doctorates -> Psychology,Standard errors,Share (%),2,0.2
6993,r037,All doctorates -> Social sciences,Estimates,NSF award,2,9800
6993,r038,All doctorates -> Social sciences,Estimates,No award,2,132700
6993,r039,All doctorates -> Social sciences,Estimates,Share (%),2,6.9
6993,r040,All doctorates -> Social sciences,Standard errors,NSF award,2,450
6993,r041,All doctorates -> Social sciences,Standard errors,No award,2,675
6993,r042,All doctorates -> Social sciences,Standard errors,Share (%),2,0.35
6993,r043,All doctorates -> Engineering,Estimates,NSF award,2,19150
6993,r044,All doctorates -> Engineering,Estimates,No award,2,183750
6993,r045,All doctorates -> Engineering,Estimates,Share (%),2,9.4
6993,r046,All doctorates -> Engineering,Standard errors,NSF award,2,700
