table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_field_levela,field_sed_cip_series_codes
7620,r001,Science and engineering,Science and engineering,,,,1,Area,see below
7620,r002,Science and engineering -> Agricultural sciences and natural resources,Science and engineering,Agricultural sciences and natural resources,,,2,Broad,"Most of 01, 03 (see below)"
7620,r003,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",,3,Major,1
7620,r004,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Agronomy and crop science",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Agronomy and crop science,4,Detailed,1.1102
7620,r005,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Animal sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences,4,Detailed,1.09
7620,r006,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Food science and technology",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology,4,Detailed,1.1
7620,r007,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Plant sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences,4,Detailed,all 01.11 except 01.1102
7620,r008,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Soil sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences,4,Detailed,1.12
7620,r009,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Veterinary biomedical and clinical sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences,4,Detailed,"01.80, 01.81, 01.83, 01.1302, 01.1399"
7620,r010,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Agricultural, animal, plant, and veterinary sciences nec",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences","Agricultural, animal, plant, and veterinary sciences nec",4,Detailed,"all other 01 except 01.0103, 01.05, 01.82"
7620,r011,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,,3,Major,all 03 except 03.0204
7620,r012,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental science,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Environmental science,4,Detailed,3.0104
7620,r013,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental/ natural resources management and policy,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Environmental/ natural resources management and policy,4,Detailed,all 03.02 except 03.0204
7620,r014,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forestry,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Forestry,4,Detailed,3.05
7620,r015,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources conservation and research,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources conservation and research,4,Detailed,all 03.01 except 03.0104
7620,r016,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources and conservation nec,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation nec,4,Detailed,"03.03, 03.06, 03.99"
7620,r017,Science and engineering -> Biological and biomedical sciences,Science and engineering,Biological and biomedical sciences,,,2,Broad,26
7620,r018,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",,3,Major,26.02
7620,r019,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biochemistry,4,Detailed,26.0202
7620,r020,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry and molecular biology",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biochemistry and molecular biology,4,Detailed,26.021
7620,r021,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biophysics",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biophysics,4,Detailed,26.0203
7620,r022,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Molecular biology",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Molecular biology,4,Detailed,26.0204
7620,r023,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry, biophysics, and molecular biology nec",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology","Biochemistry, biophysics, and molecular biology nec",4,Detailed,all other 26.02
7620,r024,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",,3,Major,26.11
7620,r025,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Bioinformatics",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Bioinformatics,4,Detailed,26.1103
7620,r026,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Biostatistics",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Biostatistics,4,Detailed,26.1102
7620,r027,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Computational biology",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Computational biology,4,Detailed,26.1104
7620,r028,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Bioinformatics, biostatistics, and computational biology nec",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology","Bioinformatics, biostatistics, and computational biology nec",4,Detailed,all other 26.11
7620,r029,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,,3,Major,26.04
7620,r030,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Cell/ cellular and molecular biology,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Cell/ cellular and molecular biology,4,Detailed,26.0406
7620,r031,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Developmental biology and embryology,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Developmental biology and embryology,4,Detailed,26.0404
7620,r032,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Cell/ cellular biology and anatomy nec,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Cell/ cellular biology and anatomy nec,4,Detailed,all other 26.04
7620,r033,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",,3,Major,26.13 except 26.1302
7620,r034,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology,4,Detailed,26.1301
7620,r035,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology and evolutionary biology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology and evolutionary biology,4,Detailed,26.131
7620,r036,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Epidemiology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology,4,Detailed,26.1309
7620,r037,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Epidemiology and biostatistics",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology and biostatistics,4,Detailed,26.1311
7620,r038,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Evolutionary biology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology,4,Detailed,26.1303
7620,r039,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology, evolutionary biology, and epidemiology nec",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology","Ecology, evolutionary biology, and epidemiology nec",4,Detailed,all other 26.13 except 26.1302
7620,r040,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,,3,Major,26.08
7620,r041,"Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genetics, general",Science and engineering,Biological and biomedical sciences,Genetics and genomics,"Genetics, general",4,Detailed,26.0801
7620,r042,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genome sciences and genomics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Genome sciences and genomics,4,Detailed,26.0807
7620,r043,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Human/ medical genetics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Human/ medical genetics,4,Detailed,26.0806
7620,r044,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Molecular genetics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Molecular genetics,4,Detailed,26.0802
7620,r045,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genetics nec,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Genetics nec,4,Detailed,all other 26.08
7620,r046,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,,3,Major,26.05
7620,r047,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Immunology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Immunology,4,Detailed,26.0507
7620,r048,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology and immunology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Microbiology and immunology,4,Detailed,26.0508
