table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_hierarchy_depth,field_2013,field_2018
1899,r001,Health care,Health care,,1,13271,31785
1899,r002,Health care -> Health care devices and supplies,Health care,Health care devices and supplies,2,4917,5723
1899,r003,Health care -> Health care technology systems,Health care,Health care technology systems,2,1239,4855
1899,r004,Health care -> Pharmaceuticals and biotechnology,Health care,Pharmaceuticals and biotechnology,2,5953,18662
1899,r005,Health care -> Other health care,Health care,Other health care,2,1161,2545
1899,r006,ICT,ICT,,1,20703,45697
1899,r007,ICT -> Communications and networking,ICT,Communications and networking,2,1021,750
1899,r008,ICT -> Computer hardware,ICT,Computer hardware,2,1054,1334
1899,r009,ICT -> Media,ICT,Media,2,1495,2198
1899,r010,ICT -> Software,ICT,Software,2,16082,39764
1899,r011,ICT -> Other ICT,ICT,Other ICT,2,1050,1652
1899,r012,Transportation,Transportation,,1,648,6645
