table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_total_with_definite_plana,field_academe,field_industry_or_businessb,field_government,field_nonprofit_organization,field_other_or_unknownc
9595,r001,Doctorate recipients reporting annual salary,Doctorate recipients reporting annual salary,,,1,96000,70000,120000,90000,85000,75000
9595,r002,Doctorate recipients reporting annual salary -> Science and engineering,Doctorate recipients reporting annual salary,Science and engineering,,2,105000,71000,120000,90000,92000,71000
9595,r003,Doctorate recipients reporting annual salary -> Science and engineering -> Agricultural sciences and natural resources,Doctorate recipients reporting annual salary,Science and engineering,Agricultural sciences and natural resources,3,84000,65000,95000,73875,80000,60000
9595,r004,Doctorate recipients reporting annual salary -> Science and engineering -> Biological and biomedical sciences,Doctorate recipients reporting annual salary,Science and engineering,Biological and biomedical sciences,3,100000,65000,110000,79901,85000,57000
9595,r005,Doctorate recipients reporting annual salary -> Science and engineering -> Computer and information sciences,Doctorate recipients reporting annual salary,Science and engineering,Computer and information sciences,3,150000,97500,160000,112000,120000,56500
9595,r006,Doctorate recipients reporting annual salary -> Science and engineering -> Engineering,Doctorate recipients reporting annual salary,Science and engineering,Engineering,3,118000,88000,120000,99493,106000,110000
9595,r007,"Doctorate recipients reporting annual salary -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting annual salary,Science and engineering,"Geosciences, atmospheric, and ocean sciences",3,80000,65000,113750,70853,68000,57500
9595,r008,Doctorate recipients reporting annual salary -> Science and engineering -> Health sciences,Doctorate recipients reporting annual salary,Science and engineering,Health sciences,3,90000,78000,110000,89950,105000,74000
9595,r009,Doctorate recipients reporting annual salary -> Science and engineering -> Mathematics and statistics,Doctorate recipients reporting annual salary,Science and engineering,Mathematics and statistics,3,120000,61750,140000,104500,100000,53500
9595,r010,Doctorate recipients reporting annual salary -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting annual salary,Science and engineering,Multidisciplinary/ interdisciplinary sciences,3,130000,82250,150000,108904,101800,
9595,r011,Doctorate recipients reporting annual salary -> Science and engineering -> Physical sciences,Doctorate recipients reporting annual salary,Science and engineering,Physical sciences,3,110000,60000,115000,95000,110000,58000
9595,r012,Doctorate recipients reporting annual salary -> Science and engineering -> Psychology,Doctorate recipients reporting annual salary,Science and engineering,Psychology,3,73000,63000,95000,75000,80000,70000
9595,r013,Doctorate recipients reporting annual salary -> Science and engineering -> Social sciences,Doctorate recipients reporting annual salary,Science and engineering,Social sciences,3,84000,70000,137000,99920,88000,100500
9595,r014,Doctorate recipients reporting annual salary -> Non-science and engineering,Doctorate recipients reporting annual salary,Non-science and engineering,,2,70000,66925,89000,88000,70000,76476
9595,r015,Doctorate recipients reporting annual salary -> Non-science and engineering -> Business,Doctorate recipients reporting annual salary,Non-science and engineering,Business,3,134000,133000,140000,131500,96000,107000
9595,r016,Doctorate recipients reporting annual salary -> Non-science and engineering -> Education,Doctorate recipients reporting annual salary,Non-science and engineering,Education,3,73415,68000,90000,86000,81500,85000
9595,r017,Doctorate recipients reporting annual salary -> Non-science and engineering -> Humanities,Doctorate recipients reporting annual salary,Non-science and engineering,Humanities,3,58000,55000,62000,70000,60000,62000
9595,r018,Doctorate recipients reporting annual salary -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting annual salary,Non-science and engineering,Visual and performing arts,3,53350,53000,50000,,53500,65000
9595,r019,Doctorate recipients reporting annual salary -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting annual salary,Non-science and engineering,Other non-science and engineering,3,70000,65000,95000,90000,90000,68000
