table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
11285,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['112,723,718', '&nbsp;']","['11,945,074', '&nbsp;']","['19,747,521', '&nbsp;']","['17,504,479', '&nbsp;']","['63,526,645', '&nbsp;']"
11285,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['13,370,866', '&nbsp;']","['468,129', '&nbsp;']","['1,399,314', '&nbsp;']","['2,045,037', '&nbsp;']","['9,458,386', '&nbsp;']"
11285,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,668,324', '&nbsp;']","['42,453', '&nbsp;']","['144,532', '&nbsp;']","['202,078', '&nbsp;']","['1,279,262', '&nbsp;']"
11285,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['448,197', '&nbsp;']","['22,439', '&nbsp;']","['77,780', '&nbsp;']","['52,061', '&nbsp;']","['295,917', '&nbsp;']"
11285,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['216,413', '&nbsp;']","['23,992', '&nbsp;']","['49,447', '&nbsp;']","['52,106', '&nbsp;']","['90,868', '&nbsp;']"
11285,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['455,566', '&nbsp;']","['21,702', '&nbsp;']","['78,072', '&nbsp;']","['79,505', '&nbsp;']","['276,288', '&nbsp;']"
11285,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['320,343', '&nbsp;']","['1,760', '&nbsp;']","['15,291', '&nbsp;']","['30,673', '&nbsp;']","['272,620', '&nbsp;']"
11285,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['405,547', '&nbsp;']","['53,377', '&nbsp;']","['88,473', '&nbsp;']","['79,809', '&nbsp;']","['183,888', '&nbsp;']"
11285,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['157,591', '&nbsp;']","['879', '&nbsp;']","['5,109', '&nbsp;']","['2,657', '&nbsp;']","['148,947', '&nbsp;']"
11285,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,063,551', '&nbsp;']","['15,917', '&nbsp;']","['51,528', '&nbsp;']","['129,092', '&nbsp;']","['867,013', '&nbsp;']"
11285,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['17,360', '&nbsp;']","['1,159', '&nbsp;']","['2,933', '&nbsp;']","['11,388', 'r']","['1,880', 'r']"
11285,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['415,178', '&nbsp;']","['2,855', '&nbsp;']","['9,550', '&nbsp;']","['23,300', '&nbsp;']","['379,472', '&nbsp;']"
11285,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['111,792', '&nbsp;']","['3,774', '&nbsp;']","['7,946', '&nbsp;']","['13,157', '&nbsp;']","['86,914', '&nbsp;']"
11285,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['519,221', '&nbsp;']","['8,128', '&nbsp;']","['31,099', '&nbsp;']","['81,247', '&nbsp;']","['398,747', '&nbsp;']"
11285,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['664,613', '&nbsp;']","['9,913', '&nbsp;']","['63,697', '&nbsp;']","['148,396', '&nbsp;']","['442,606', '&nbsp;']"
11285,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['478,621', '&nbsp;']","['14,261', '&nbsp;']","['57,492', '&nbsp;']","['80,746', '&nbsp;']","['326,122', '&nbsp;']"
11285,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['417,943', '&nbsp;']","['2,770', '&nbsp;']","['19,299', '&nbsp;']","['39,272', '&nbsp;']","['356,603', '&nbsp;']"
