table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
2564,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    144,870 ', '&#160;']","['    120,406 ', '&#160;']","['    4,777 ', 'r']","['    101 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    19,158 ', '&#160;']","['    350 ', 'r']","['S', '&#160;']"
2564,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    10,757 ', 'r']","['    10,757 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    2,055 ', '&#160;']","['    2,055 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    25,993 ', '&#160;']","['    25,993 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    2,849,769 ', '&#160;']","['    2,294,527 ', '&#160;']","['    94,307 ', '&#160;']","['    67,005 ', '&#160;']","['    26,462 ', '&#160;']","['    6,298 ', '&#160;']","['    5,533 ', '&#160;']","['    332,919 ', '&#160;']","['    7,393 ', '&#160;']","['    15,325 ', '&#160;']"
2564,r022,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    79,414 ', '&#160;']","['    78,132 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['S', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    947 ', 'r']","['    305 ', 'r']","['    0 ', '&#160;']"
2564,r023,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    388,034 ', '&#160;']","['    379,500 ', '&#160;']","['    14 ', 'r']","['    941 ', 'r']","['    471 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    7,108 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r024,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    216,041 ', '&#160;']","['    214,095 ', '&#160;']","['    14 ', 'r']","['    941 ', 'r']","['    471 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    521 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r025,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 (excluding 5112),"['    171,992 ', 'r']","['    165,406 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    0 ', '&#160;']","['    6,587 ', 'r']","['    0 ', '&#160;']","['    0 ', '&#160;']"
2564,r026,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    216,146 ', '&#160;']","['    119,285 ', '&#160;']","['    6,442 ', '&#160;']","['    7,838 ', '&#160;']","['    8,071 ', 'r']","['    2,392 ', 'r']","['    0 ', '&#160;']","['    69,509 ', '&#160;']","['    2,608 ', 'r']","['    0 ', '&#160;']"
2564,r027,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    904,128 ', '&#160;']","['    862,413 ', '&#160;']","['    5,945 ', '&#160;']","['    10,783 ', '&#160;']","['    1,337 ', 'r']","['    149 ', 'r']","['    460 ', '&#160;']","['    13,377 ', '&#160;']","['    159 ', 'r']","['    9,505 ', 'r']"
2564,r028,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    1,262,048 ', '&#160;']","['    855,197 ', '&#160;']","['    81,906 ', '&#160;']","['    47,443 ', '&#160;']","['    16,553 ', '&#160;']","['    3,757 ', '&#160;']","['    5,073 ', '&#160;']","['    241,978 ', '&#160;']","['    4,322 ', '&#160;']","['    5,819 ', '&#160;']"
