table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
946,r001,United States<sup>d</sup>,United States<sup>d</sup>,,1,29146,25495,5629,6958,4068,2011,2866,976,3693,5381,7389,2448,1521,3300,2581,2708,1399,1713
946,r002,United States<sup>d</sup> -> Alabama,United States<sup>d</sup>,Alabama,2,365,342,96,92,38,21,35,13,28,61,100,31,34,81,13,15,21,28
946,r003,United States<sup>d</sup> -> Alaska,United States<sup>d</sup>,Alaska,2,19,33,,,9,11,0,0,,,,,,,0,0,,
946,r004,United States<sup>d</sup> -> Arizona,United States<sup>d</sup>,Arizona,2,420,381,57,76,78,32,38,13,53,103,109,32,24,51,41,50,20,24
946,r005,United States<sup>d</sup> -> Arkansas,United States<sup>d</sup>,Arkansas,2,98,104,32,43,6,11,,,8,11,,,,,8,15,,
946,r006,United States<sup>d</sup> -> California,United States<sup>d</sup>,California,2,3283,2817,583,716,551,289,371,124,488,641,817,334,91,221,292,332,90,160
946,r007,United States<sup>d</sup> -> Colorado,United States<sup>d</sup>,Colorado,2,543,462,89,123,114,41,51,16,42,86,161,45,33,74,41,41,12,36
946,r008,United States<sup>d</sup> -> Connecticut,United States<sup>d</sup>,Connecticut,2,397,351,76,120,66,38,44,16,57,72,69,28,5,8,60,55,20,14
946,r009,United States<sup>d</sup> -> Delaware,United States<sup>d</sup>,Delaware,2,127,111,25,34,17,7,,,18,27,46,23,,,,,0,0
946,r010,United States<sup>d</sup> -> District of Columbia,United States<sup>d</sup>,District of Columbia,2,295,328,21,34,18,19,17,7,72,135,61,17,25,45,58,40,23,31
946,r011,United States<sup>d</sup> -> Florida,United States<sup>d</sup>,Florida,2,1258,1078,221,269,169,90,109,36,168,241,333,86,80,176,88,94,90,86
946,r012,United States<sup>d</sup> -> Georgia,United States<sup>d</sup>,Georgia,2,795,697,148,209,81,48,77,22,67,149,283,77,42,80,55,70,42,42
946,r013,United States<sup>d</sup> -> Hawaii,United States<sup>d</sup>,Hawaii,2,78,111,11,33,15,14,,,24,37,,,,,7,6,,
946,r014,United States<sup>d</sup> -> Idaho,United States<sup>d</sup>,Idaho,2,57,46,15,17,,,,,9,6,,,6,13,,,0,0
946,r015,United States<sup>d</sup> -> Illinois,United States<sup>d</sup>,Illinois,2,1357,1173,225,252,199,68,139,54,181,264,314,119,60,125,166,174,73,117
946,r016,United States<sup>d</sup> -> Indiana,United States<sup>d</sup>,Indiana,2,928,641,152,156,128,67,88,30,94,127,274,55,51,80,97,91,44,35
946,r017,United States<sup>d</sup> -> Iowa,United States<sup>d</sup>,Iowa,2,410,305,78,72,57,22,50,22,34,48,115,37,32,47,22,28,22,29
946,r018,United States<sup>d</sup> -> Kansas,United States<sup>d</sup>,Kansas,2,281,249,71,77,29,15,18,5,47,64,56,18,18,26,22,25,20,19
946,r019,United States<sup>d</sup> -> Kentucky,United States<sup>d</sup>,Kentucky,2,256,241,56,82,12,10,24,11,34,41,38,10,26,44,54,33,12,10
946,r020,United States<sup>d</sup> -> Louisiana,United States<sup>d</sup>,Louisiana,2,342,265,89,68,43,25,39,9,32,58,63,11,19,44,32,26,25,24
946,r021,United States<sup>d</sup> -> Maine,United States<sup>d</sup>,Maine,2,29,27,,,,,,,,,,,,,,,,
946,r022,United States<sup>d</sup> -> Maryland,United States<sup>d</sup>,Maryland,2,645,650,160,279,95,46,81,37,74,131,162,63,12,26,39,38,22,30
946,r023,United States<sup>d</sup> -> Massachusetts,United States<sup>d</sup>,Massachusetts,2,1565,1313,310,396,252,120,126,51,210,263,416,181,48,89,147,145,56,68
946,r024,United States<sup>d</sup> -> Michigan,United States<sup>d</sup>,Michigan,2,1056,850,181,204,135,71,89,29,148,197,296,98,84,122,83,80,40,49
946,r025,United States<sup>d</sup> -> Minnesota,United States<sup>d</sup>,Minnesota,2,599,775,153,244,41,25,43,10,124,238,103,25,41,112,22,27,72,94
946,r026,United States<sup>d</sup> -> Mississippi,United States<sup>d</sup>,Mississippi,2,229,230,62,45,30,18,12,8,29,47,39,12,32,71,7,14,18,15
946,r027,United States<sup>d</sup> -> Missouri,United States<sup>d</sup>,Missouri,2,551,470,129,130,84,23,41,14,60,92,127,44,23,82,58,49,29,36
946,r028,United States<sup>d</sup> -> Montana,United States<sup>d</sup>,Montana,2,56,63,23,13,8,7,,,,,,,8,22,,,,
946,r029,United States<sup>d</sup> -> Nebraska,United States<sup>d</sup>,Nebraska,2,186,177,73,70,18,14,19,8,20,26,33,11,10,29,8,10,5,9
946,r030,United States<sup>d</sup> -> Nevada,United States<sup>d</sup>,Nevada,2,110,90,7,14,14,6,,,19,25,28,6,16,29,,,,
946,r031,United States<sup>d</sup> -> New Hampshire,United States<sup>d</sup>,New Hampshire,2,78,80,16,44,18,14,,,12,5,,,,,,,,
946,r032,United States<sup>d</sup> -> New Jersey,United States<sup>d</sup>,New Jersey,2,628,487,86,123,102,43,80,20,89,90,141,53,22,36,74,78,34,44
946,r033,United States<sup>d</sup> -> New Mexico,United States<sup>d</sup>,New Mexico,2,179,120,24,21,34,10,,,15,28,60,14,15,30,6,9,,
946,r034,United States<sup>d</sup> -> New York,United States<sup>d</sup>,New York,2,2092,1972,367,492,273,138,243,59,343,492,409,158,82,222,281,314,94,97
946,r035,United States<sup>d</sup> -> North Carolina,United States<sup>d</sup>,North Carolina,2,949,883,248,296,127,67,103,52,106,141,229,87,23,85,69,74,44,81
946,r036,United States<sup>d</sup> -> North Dakota,United States<sup>d</sup>,North Dakota,2,81,100,20,26,,,,,9,23,23,7,14,32,,,,
946,r037,United States<sup>d</sup> -> Ohio,United States<sup>d</sup>,Ohio,2,1128,900,189,251,188,72,86,27,123,160,325,85,79,182,86,62,52,61
946,r038,United States<sup>d</sup> -> Oklahoma,United States<sup>d</sup>,Oklahoma,2,292,232,77,60,29,17,,,38,35,52,18,18,58,27,24,,
946,r039,United States<sup>d</sup> -> Oregon,United States<sup>d</sup>,Oregon,2,322,250,85,98,69,26,44,8,32,48,56,15,13,18,11,21,12,16
