table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_level_3,race_and_ethnicity_hierarchy_depth,field_number,field_percent
12503,r001,U.S. citizens and permanent residents,U.S. citizens and permanent residents,,,1,27010,100.0
12503,r002,U.S. citizens and permanent residents -> Hispanic or Latino,U.S. citizens and permanent residents,Hispanic or Latino,,2,2593,9.6
12503,r003,U.S. citizens and permanent residents -> Not Hispanic or Latino,U.S. citizens and permanent residents,Not Hispanic or Latino,,2,23963,88.7
12503,r004,U.S. citizens and permanent residents -> Not Hispanic or Latino -> American Indian or Alaska Native,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,3,68,0.3
12503,r005,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Asian,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,3,3248,12.0
12503,r006,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Black or African American,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,3,1658,6.1
12503,r007,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,3,29,0.1
12503,r008,U.S. citizens and permanent residents -> Not Hispanic or Latino -> White,U.S. citizens and permanent residents,Not Hispanic or Latino,White,3,17585,65.1
12503,r009,U.S. citizens and permanent residents -> Not Hispanic or Latino -> More than one race,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,3,1060,3.9
12503,r010,U.S. citizens and permanent residents -> Not Hispanic or Latino -> Race not reported,U.S. citizens and permanent residents,Not Hispanic or Latino,Race not reported,3,315,1.2
12503,r011,U.S. citizens and permanent residents -> Ethnicity not reported,U.S. citizens and permanent residents,Ethnicity not reported,,2,454,1.7
