table_id,row_id,_b_occupation_category_b_full_path,_b_occupation_category_b_level_1,_b_occupation_category_b_level_2,_b_occupation_category_b_hierarchy_depth,field_type_of_nonprofit_organizationa_headcount_all_organizations_,field_type_of_nonprofit_organizationa_headcount_healthcare,field_type_of_nonprofit_organizationa_headcount_science_and_technology,field_type_of_nonprofit_organizationa_headcount_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_full_time_equivalent_all_organizations_,field_type_of_nonprofit_organizationa_full_time_equivalent_healthcare,field_type_of_nonprofit_organizationa_full_time_equivalent_science_and_technology,field_type_of_nonprofit_organizationa_full_time_equivalent_other_nonprofit_organizations_
12346,r001,All R&D employees ,All R&D employees ,,1,"['198,389', '  ']","['128,134', 'i ']","['57,235', '  ']","['13,020', '  ']","['136,206', '  ']","['79,210', '  ']","['47,168', '  ']","['9,828', '  ']"
12346,r002,All R&D employees  -> Researchers,All R&D employees ,Researchers,2,"['89,512', '  ']","['56,475', 'i ']","['25,585', '  ']","['7,451', '  ']","['60,574', '  ']","['32,767', '  ']","['22,152', '  ']","['5,655', '  ']"
12346,r003,All R&D employees  -> Technicians,All R&D employees ,Technicians,2,"['68,072', '  ']","['46,581', '  ']","['18,438', '  ']","['3,053', '  ']","['48,256', '  ']","['30,420', '  ']","['15,554', '  ']","['2,282', '  ']"
12346,r004,All R&D employees  -> Other support personnel,All R&D employees ,Other support personnel,2,"['40,805', '  ']","['25,078', '  ']","['13,212', '  ']","['2,515', '  ']","['27,376', '  ']","['16,023', '  ']","['9,462', '  ']","['1,891', '  ']"
