table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_assistantships_number,field_research_assistantships_percent,field_teaching_assistantships_number,field_teaching_assistantships_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_self_support_number,field_other_types_of_support_self_support_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
6085,r001,All graduate students,All graduate students,,,,1,491515,43462,8.8,115101,23.4,85292,17.4,12019,2.4,192671,39.2,42970,8.7
6085,r002,All graduate students -> Science,All graduate students,Science,,,2,330541,31998,9.7,71110,21.5,67293,20.4,9174,2.8,123897,37.5,27069,8.2
6085,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,7271,406,5.6,4128,56.8,992,13.6,69,0.9,1306,18.0,370,5.1
6085,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,77580,10017,12.9,24296,31.3,10644,13.7,5890,7.6,20307,26.2,6426,8.3
6085,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,55402,2318,4.2,8558,15.4,7268,13.1,371,0.7,32358,58.4,4529,8.2
6085,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,9456,1133,12.0,3751,39.7,2529,26.7,99,1.0,1396,14.8,548,5.8
6085,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,24041,1859,7.7,2108,8.8,9098,37.8,217,0.9,9357,38.9,1402,5.8
6085,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,9039,924,10.2,1005,11.1,842,9.3,94,1.0,5364,59.3,810,9.0
6085,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,8448,875,10.4,2433,28.8,1277,15.1,91,1.1,3166,37.5,606,7.2
6085,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,37638,4194,11.1,14556,38.7,13422,35.7,657,1.7,3081,8.2,1728,4.6
6085,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,46168,1924,4.2,4726,10.2,6631,14.4,816,1.8,27882,60.4,4189,9.1
6085,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,55498,8348,15.0,5549,10.0,14590,26.3,870,1.6,19680,35.5,6461,11.6
6085,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,111240,9732,8.7,39230,35.3,14187,12.8,1395,1.3,36794,33.1,9902,8.9
6085,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,4599,428,9.3,1736,37.7,591,12.9,61,1.3,1356,29.5,427,9.3
6085,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,11075,1684,15.2,4213,38.0,966,8.7,495,4.5,2677,24.2,1040,9.4
6085,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,9030,1340,14.8,4343,48.1,1160,12.8,130,1.4,1509,16.7,548,6.1
6085,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,12861,1052,8.2,4488,34.9,1875,14.6,135,1.0,4125,32.1,1186,9.2
6085,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,30503,1925,6.3,9428,30.9,3973,13.0,195,0.6,12516,41.0,2466,8.1
