table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
8324,r001,All detailed fields,All detailed fields,,,,1,466613,100.0,48681,100.0,1356,100.0,40607,100.0,33129,100.0,597,100.0,184608,100.0,12301,100.0,16376,100.0,128958,100.0
8324,r002,All detailed fields -> Science,All detailed fields,Science,,,2,305796,65.5,32387,66.5,845,62.3,25795,63.5,22257,67.2,410,68.7,118785,64.3,8022,65.2,11342,69.3,85953,66.7
8324,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,6801,1.5,700,1.4,22,1.6,262,0.6,306,0.9,12,2.0,3978,2.2,168,1.4,157,1.0,1196,0.9
8324,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,5790,1.2,601,1.2,22,1.6,196,0.5,263,0.8,11,1.8,3396,1.8,138,1.1,141,0.9,1022,0.8
8324,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1011,0.2,99,0.2,0,0.0,66,0.2,43,0.1,1,0.2,582,0.3,30,0.2,16,0.1,174,0.1
8324,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,42728,9.2,5037,10.3,104,7.7,4999,12.3,4067,12.3,86,14.4,19656,10.6,1353,11.0,1568,9.6,5858,4.5
8324,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,1005,0.2,147,0.3,4,0.3,97,0.2,56,0.2,2,0.3,395,0.2,25,0.2,55,0.3,224,0.2
8324,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,8294,1.8,1105,2.3,30,2.2,549,1.4,659,2.0,21,3.5,4714,2.6,293,2.4,215,1.3,708,0.5
8324,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,5794,1.2,697,1.4,9,0.7,1121,2.8,1012,3.1,12,2.0,2148,1.2,162,1.3,183,1.1,450,0.3
8324,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,6,0.05,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,3,0.05,0,0.0,1,0.05,0,0.0
8324,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,3519,0.8,204,0.4,6,0.4,542,1.3,150,0.5,1,0.2,1044,0.6,76,0.6,95,0.6,1401,1.1
8324,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3395,0.7,389,0.8,8,0.6,515,1.3,355,1.1,4,0.7,1225,0.7,111,0.9,127,0.8,661,0.5
