table_id,row_id,_b_type_of_r_d_b_full_path,_b_type_of_r_d_b_level_1,_b_type_of_r_d_b_level_2,_b_type_of_r_d_b_hierarchy_depth,field_total,field_federally_funded,field_nonfederally_funded
8045,r001,All R&D,All R&D,,1,27973176,12277531,15695645
8045,r002,All R&D -> Basic research,All R&D,Basic research,2,12670091,5556912,7113179
8045,r003,All R&D -> Applied research,All R&D,Applied research,2,10845010,4908333,5936676
8045,r004,All R&D -> Experimental development ,All R&D,Experimental development ,2,4458075,1812286,2645789
