table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_alabama,field_alaska,field_arizona,field_arkansas,field_california,field_colorado,field_connecticut,field_delaware,field_district_of_columbia,field_florida,field_georgia,field_hawaii,field_idaho,field_illinois,field_indiana,field_iowa,field_kansas,field_kentucky,field_louisiana,field_maine,field_maryland,field_massachusetts,field_michigan,field_minnesota,field_mississippi,field_missouri,field_montana
2717,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['24,698', '  ']","['377,806', '  ']","['1,284', '  ']","['20', 'e ']","['4,673', '  ']","['423', '  ']","['129,656', '  ']","['4,286', '  ']","['6,193', '  ']","['1,432', 'i ']","['278', '  ']","['4,498', '  ']","['4,094', '  ']","['89', '  ']","['2,376', '  ']","['12,239', '  ']","['6,004', '  ']","['2,556', '  ']","['1,645', '  ']","['1,178', '  ']","['359', '  ']","['266', '  ']","['4,227', '  ']","['22,581', '  ']","['20,323', '  ']","['7,021', '  ']","['250', '  ']","['3,976', '  ']","['157', '  ']"
2717,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['14,727', '  ']","['234,682', '  ']","['889', '  ']","['5', 'e ']","['3,731', '  ']","['267', '  ']","['66,968', '  ']","['2,792', '  ']","['5,499', '  ']","['1,289', 'i ']","['51', '  ']","['2,463', '  ']","['2,348', '  ']","['41', 'i ']","['2,312', '  ']","['9,636', '  ']","['5,676', '  ']","['2,256', '  ']","['1,238', '  ']","['990', '  ']","['202', '  ']","['217', '  ']","['2,832', '  ']","['17,696', '  ']","['19,265', '  ']","['5,799', '  ']","['211', '  ']","['3,114', '  ']","['99', 'i ']"
2717,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['802', '  ']","['4,412', '  ']","['6', '  ']","['2', 'e ']","['5', '  ']","['44', '  ']","['182', '  ']","['33', '  ']","['39', '  ']","['695', 'i ']","['*', 'e ']","['21', '  ']","['33', '  ']","['1', 'e ']","['51', '  ']","['774', 'i ']","['27', '  ']","['733', 'i ']","['36', '  ']","['27', '  ']","['5', 'e ']","['1', 'e ']","['58', '  ']","['103', '  ']","['155', '  ']","['385', '  ']","['2', 'e ']","['27', '  ']","['3', '  ']"
2717,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['195', '  ']","['1,004', '  ']","['*', 'e ']","['*', 'e ']","['2', 'i ']","['*', 'e ']","['66', '  ']","['8', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['14', '  ']","['98', '  ']","['*', 'e ']","['*', 'e ']","['91', '  ']","['1', 'e ']","['*', 'i ']","['*', 'e ']","['28', '  ']","['*', 'e ']","['1', 'e ']","['*', 'e ']","['7', '  ']","['1', 'e ']","['1', 'e ']","['*', 'e ']","['3', '  ']","['*', 'e ']"
2717,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['236', '  ']","['986', '  ']","['6', '  ']","['*', 'e ']","['1', 'e ']","['3', '  ']","['352', '  ']","['11', '  ']","['2', 'i ']","['*', 'e ']","['0', '  ']","['17', '  ']","['97', '  ']","['*', 'e ']","['*', 'e ']","['9', '  ']","['4', '  ']","['1', 'e ']","['2', '  ']","['3', '  ']","['1', 'e ']","['1', 'e ']","['1', 'e ']","['78', '  ']","['17', '  ']","['2', 'e ']","['1', 'e ']","['1', 'e ']","['*', 'e ']"
2717,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['181', '  ']","['199', '  ']","['1', 'e ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['23', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['0', '  ']","['1', 'e ']","['7', '  ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['2', 'e ']","['14', '  ']","['*', 'e ']","['1', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['46', '  ']","['1', 'e ']","['1', 'e ']","['*', 'e ']"
2717,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['154', '  ']","['932', '  ']","['51', '  ']","['0', '  ']","['*', 'e ']","['31', '  ']","['9', '  ']","['*', 'e ']","['5', '  ']","['*', 'e ']","['0', '  ']","['15', '  ']","['46', '  ']","['0', '  ']","['*', 'e ']","['18', '  ']","['1', '  ']","['1', '  ']","['4', '  ']","['18', '  ']","['8', '  ']","['12', '  ']","['10', '  ']","['16', '  ']","['17', '  ']","['11', '  ']","['1', '  ']","['1', 'e ']","['*', 'e ']"
2717,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['172', '  ']","['238', '  ']","['*', 'e ']","['*', 'e ']","['1', 'i ']","['*', '  ']","['93', 'i ']","['8', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['1', '  ']","['2', 'i ']","['*', 'e ']","['*', 'e ']","['5', '  ']","['*', 'e ']","['2', 'i ']","['*', 'e ']","['4', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['5', '  ']","['6', '  ']","['7', '  ']","['*', 'e ']","['6', '  ']","['2', '  ']"
2717,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['94', '  ']","['1,246', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['20', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['0', '  ']","['3', '  ']","['1', '  ']","['0', '  ']","['*', 'e ']","['31', '  ']","['26', '  ']","['0', '  ']","['5', '  ']","['16', '  ']","['*', 'e ']","['*', 'e ']","['6', '  ']","['*', 'e ']","['2', 'i ']","['*', 'e ']","['7', '  ']","['3', '  ']","['0', '  ']"
2717,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,631', '  ']","['73,584', '  ']","['93', 'i ']","['*', 'e ']","['123', '  ']","['24', '  ']","['15,941', '  ']","['277', '  ']","['4,316', '  ']","['487', '  ']","['26', '  ']","['659', '  ']","['204', '  ']","['29', 'i ']","['28', '  ']","['4,088', 'i ']","['3,161', '  ']","['203', '  ']","['160', '  ']","['216', 'i ']","['50', '  ']","['11', '  ']","['1,310', '  ']","['10,858', '  ']","['882', '  ']","['393', '  ']","['34', '  ']","['2,018', '  ']","['7', '  ']"
2717,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['321', '  ']","['2,251', '  ']","['1', '  ']","['0', '  ']","['2', '  ']","['8', '  ']","['92', '  ']","['10', '  ']","['66', '  ']","['96', 'i ']","['0', '  ']","['11', '  ']","['29', '  ']","['*', 'e ']","['1', 'e ']","['62', '  ']","['14', '  ']","['52', '  ']","['4', '  ']","['12', '  ']","['20', '  ']","['*', 'e ']","['71', '  ']","['98', '  ']","['23', '  ']","['2', '  ']","['6', 'i ']","['18', '  ']","['1', '  ']"
