table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
11284,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['35,814,644,033', '&nbsp;']","['2,591,963,353', '&nbsp;']","['4,100,248,243', '&nbsp;']","['4,803,451,233', '&nbsp;']","['24,318,981,204', '&nbsp;']"
11284,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['5,796,370,244', '&nbsp;']","['95,011,297', '&nbsp;']","['285,583,343', '&nbsp;']","['536,323,453', '&nbsp;']","['4,879,452,151', '&nbsp;']"
11284,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['791,546,555', '&nbsp;']","['8,590,818', '&nbsp;']","['36,080,214', '&nbsp;']","['62,597,440', '&nbsp;']","['684,278,083', '&nbsp;']"
11284,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['133,103,831', '&nbsp;']","['3,594,650', '&nbsp;']","['8,419,164', '&nbsp;']","['9,601,745', '&nbsp;']","['111,488,271', '&nbsp;']"
11284,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['48,051,550', '&nbsp;']","['5,983,563', '&nbsp;']","['7,366,229', '&nbsp;']","['11,216,396', '&nbsp;']","['23,485,362', '&nbsp;']"
11284,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['152,964,177', '&nbsp;']","['4,490,946', '&nbsp;']","['17,494,845', '&nbsp;']","['23,375,438', '&nbsp;']","['107,602,948', '&nbsp;']"
11284,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['130,099,699', '&nbsp;']","['982,639', 'r']","['4,019,087', '&nbsp;']","['12,180,179', '&nbsp;']","['112,917,794', '&nbsp;']"
11284,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['66,887,145', '&nbsp;']","['10,341,248', '&nbsp;']","['12,436,198', '&nbsp;']","['15,034,662', '&nbsp;']","['29,075,038', '&nbsp;']"
11284,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['830,513,652', '&nbsp;']","['411,116', '&nbsp;']","['3,476,033', '&nbsp;']","['2,936,378', '&nbsp;']","['823,690,125', '&nbsp;']"
11284,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['664,152,545', '&nbsp;']","['5,899,783', '&nbsp;']","['21,247,101', '&nbsp;']","['67,272,412', '&nbsp;']","['569,733,249', '&nbsp;']"
11284,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['12,922,227', '&nbsp;']","['298,024', '&nbsp;']","['1,884,136', '&nbsp;']","['10,296,765', 'r']","['443,303', 'r']"
11284,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['244,727,550', '&nbsp;']","['755,425', '&nbsp;']","['3,280,806', '&nbsp;']","['7,960,870', '&nbsp;']","['232,730,449', '&nbsp;']"
11284,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['47,730,671', '&nbsp;']","['1,443,361', '&nbsp;']","['2,937,451', '&nbsp;']","['3,383,536', '&nbsp;']","['39,966,324', '&nbsp;']"
11284,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['358,772,096', '&nbsp;']","['3,402,973', '&nbsp;']","['13,144,709', '&nbsp;']","['45,631,241', '&nbsp;']","['296,593,173', 'i']"
11284,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['217,962,312', '&nbsp;']","['2,667,693', '&nbsp;']","['14,098,425', '&nbsp;']","['35,964,022', '&nbsp;']","['165,232,173', '&nbsp;']"
11284,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['155,659,834', '&nbsp;']","['2,833,935', '&nbsp;']","['12,131,985', '&nbsp;']","['16,808,613', '&nbsp;']","['123,885,301', '&nbsp;']"
11284,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['293,082,625', '&nbsp;']","['850,430', '&nbsp;']","['6,089,164', '&nbsp;']","['16,710,300', '&nbsp;']","['269,432,732', '&nbsp;']"
11284,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['351,844,512', '&nbsp;']","['18,137,262', '&nbsp;']","['57,049,145', '&nbsp;']","['84,124,682', '&nbsp;']","['192,533,424', '&nbsp;']"
11284,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['409,685,282', '&nbsp;']","['8,195,993', '&nbsp;']","['31,960,260', '&nbsp;']","['73,597,903', '&nbsp;']","['295,931,126', '&nbsp;']"
11284,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['388,264,483', '&nbsp;']","['4,094,352', '&nbsp;']","['12,215,346', '&nbsp;']","['28,999,610', '&nbsp;']","['342,955,175', 'i']"
