table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6537,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['336,571', '&nbsp;']","['338,451', '&nbsp;']","['359,490', '&nbsp;']","['374,916', '&nbsp;']","['396,352', '&nbsp;']","['416,343', '&nbsp;']","['429,174', '&nbsp;']","['457,591', '  ']","['484,740', '  ']","['543,369', '&nbsp;']","['597,420', '&nbsp;']"
6537,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['236,858', '&nbsp;']","['243,611', '&nbsp;']","['253,821', '&nbsp;']","['261,697', '&nbsp;']","['276,110', '&nbsp;']","['285,661', '&nbsp;']","['287,895', '&nbsp;']","['303,044', '  ']","['314,167', '  ']","['339,076', '&nbsp;']","['350,024', '&nbsp;']"
6537,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,916', '&nbsp;']","['D', '&nbsp;']","['5,589', '&nbsp;']","['5,163', '&nbsp;']","['6,335', '&nbsp;']","['6,136', '&nbsp;']","['6,058', 'i']","['5,824', '  ']","['5,424', '  ']","['5,459', '&nbsp;']","['5,015', '&nbsp;']"
6537,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['933', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,358', '&nbsp;']","['1,423', '&nbsp;']","['1,529', '&nbsp;']","['1,076 - 1,654', '  ']","['1,769', '  ']","['1,628', '&nbsp;']","['1,755', '&nbsp;']"
6537,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['519', '&nbsp;']","['522', '&nbsp;']","['656', '&nbsp;']","['605', '&nbsp;']","['759', '&nbsp;']","['734', '&nbsp;']","['818', '&nbsp;']","['1,247', 'i ']","['1,131', '  ']","['1,223', '&nbsp;']","['1,061', '&nbsp;']"
6537,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['283', '&nbsp;']","['254', '&nbsp;']","['211', '&nbsp;']","['282', '&nbsp;']","['222', '&nbsp;']","['341', 'i']","['198', '&nbsp;']","['166 - 751', '  ']","['174', '  ']","['206', '&nbsp;']","['193', '&nbsp;']"
6537,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['NA', '&nbsp;']","['1,665', '&nbsp;']","['769', '&nbsp;']","['858', '&nbsp;']","['1,022', '&nbsp;']","['880', '&nbsp;']","['867', '&nbsp;']","['943', '  ']","['1,594', '  ']","['1,013', '&nbsp;']","['1,165', '&nbsp;']"
6537,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['217', '&nbsp;']","['269', '&nbsp;']","['212', '&nbsp;']","['291', 'i']","['258', 'i']","['238', '&nbsp;']","['198', 'i']","['223', 'i ']","['236', '  ']","['246', '&nbsp;']","['429', 'i']"
6537,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['NA', '&nbsp;']","['D', '&nbsp;']","['1,281', '&nbsp;']","['D', '&nbsp;']","['327', '&nbsp;']","['298', '&nbsp;']","['252', '&nbsp;']","['312', '  ']","['377', '  ']","['1,460 - 1,463', '&nbsp;']","['1,477 - 1,481', '&nbsp;']"
6537,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['64,442', '&nbsp;']","['72,610', '&nbsp;']","['72,068', '&nbsp;']","['70,218', '&nbsp;']","['74,551', '&nbsp;']","['79,428', '&nbsp;']","['80,961', '&nbsp;']","['84,612', '  ']","['90,236', '  ']","['101,132', '&nbsp;']","['115,631', '&nbsp;']"
