table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
2747,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,619', '  ']","['1,367', '  ']","['236', '  ']","['16', '  ']","['1,127', '  ']","['987', '  ']","['131', '  ']","['9', '  ']"
2747,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['899', '  ']","['783', '  ']","['106', '  ']","['10', '  ']","['640', '  ']","['579', '  ']","['56', '  ']","['5', 'i ']"
2747,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['20', '  ']","['17', '  ']","['3', '  ']","['*', 'i ']","['12', 'i ']","['10', '  ']","['1', 'i ']","['*', 'i ']"
2747,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['5', '  ']","['5', '  ']","['1', '  ']","['*', 'i ']","['3', '  ']","['3', '  ']","['*', 'i ']","['*', 'i ']"
2747,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['6', '  ']","['4', '  ']","['2', '  ']","['*', '  ']","['3', '  ']","['2', '  ']","['1', '  ']","['*', '  ']"
2747,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['0', '  ']"
2747,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['5', '  ']","['4', '  ']","['1', '  ']","['*', '  ']","['3', '  ']","['3', '  ']","['1', 'i ']","['*', '  ']"
2747,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
2747,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['6', '  ']","['6', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
2747,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['185', '  ']","['178', '  ']","['6', '  ']","['1', '  ']","['127', '  ']","['123', '  ']","['3', '  ']","['1', '  ']"
2747,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['12', '  ']","['11', '  ']","['1', '  ']","['*', '  ']","['7', '  ']","['6', '  ']","['*', '  ']","['*', '  ']"
2747,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['7', '  ']","['7', '  ']","['*', '  ']","['*', '  ']","['5', '  ']","['5', '  ']","['*', '  ']","['*', '  ']"
2747,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['8', '  ']","['7', '  ']","['1', '  ']","['*', '  ']","['5', '  ']","['5', '  ']","['*', 'i ']","['*', 'i ']"
