table_id,row_id,technology,companies_number_,in_use,in_testing_but_not_in_use,not_in_use_nor_testing,don_t_know,did_not_answer
9052,r001,Augmented reality,"['439,096', '&nbsp;']","['1.9', '&nbsp;']","['1.7', '&nbsp;']","['79.2', '&nbsp;']","['17.1', '&nbsp;']","['0.1', '&nbsp;']"
9052,r002,Automated guided vehicles (AGV) or AGV systems,"['439,096', '&nbsp;']","['1.1', '&nbsp;']","['0.8', '&nbsp;']","['83.9', '&nbsp;']","['14.1', '&nbsp;']","['0.1', '&nbsp;']"
9052,r003,Machine learning,"['439,096', '&nbsp;']","['6.1', '&nbsp;']","['3.1', '&nbsp;']","['76.6', '&nbsp;']","['14.1', '&nbsp;']","['0.1', '&nbsp;']"
9052,r004,Machine vision software,"['439,096', '&nbsp;']","['3.4', '&nbsp;']","['1.4', '&nbsp;']","['80.2', '&nbsp;']","['14.7', '&nbsp;']","['0.2', '&nbsp;']"
9052,r005,Natural language processing,"['439,096', '&nbsp;']","['3.3', '&nbsp;']","['1.6', '&nbsp;']","['80.1', '&nbsp;']","['14.9', '&nbsp;']","['0.1', '&nbsp;']"
9052,r006,Radio-frequency identification (RFID) system,"['439,096', '&nbsp;']","['3.0', '&nbsp;']","['1.4', '&nbsp;']","['80.9', '&nbsp;']","['14.5', '&nbsp;']","['0.2', '&nbsp;']"
9052,r007,Robotics,"['439,096', '&nbsp;']","['3.4', '&nbsp;']","['1.1', '&nbsp;']","['82.4', '&nbsp;']","['12.9', '&nbsp;']","['0.1', '&nbsp;']"
9052,r008,"Touchscreens/ kiosks for customer interface (examples: self-checkout, self-check-in, touchscreen ordering)","['439,096', '&nbsp;']","['12.7', '&nbsp;']","['2.9', '&nbsp;']","['72.8', '&nbsp;']","['11.5', '&nbsp;']","['0.1', '&nbsp;']"
9052,r009,Voice recognition software,"['439,096', '&nbsp;']","['5.0', '&nbsp;']","['2.1', '&nbsp;']","['80.2', '&nbsp;']","['12.5', '&nbsp;']","['0.1', '&nbsp;']"
9052,r010,"Additive manufacturing (3D printing), including prototyping","['439,096', '&nbsp;']","['5.1', '&nbsp;']","['2.2', '&nbsp;']","['79.7', '&nbsp;']","['12.9', '&nbsp;']","['0.2', '&nbsp;']"
