table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_did_not_use,field_tested_but_notused_inproduction_orservice,field_low_use,field_moderate_use,field_high_use,field_don_t_know
5701,r001,All companies,All companies,,,1,"['    4,805,151 ', '&nbsp;']","['    60.7 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    10.4 ', '&nbsp;']","['    11.5 ', '&nbsp;']","['    10.4 ', '&nbsp;']","['    6.2 ', '&nbsp;']"
5701,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5701,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,667,724 ', '&nbsp;']","['    65.2 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    9.6 ', '&nbsp;']","['    9.8 ', '&nbsp;']","['    8.8 ', '&nbsp;']","['    5.9 ', '&nbsp;']"
5701,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    936,576 ', '&nbsp;']","['    59.6 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    10.5 ', '&nbsp;']","['    11.5 ', '&nbsp;']","['    11.1 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5701,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5701,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    579,513 ', '&nbsp;']","['    56.1 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    11.1 ', '&nbsp;']","['    13.3 ', '&nbsp;']","['    12.1 ', '&nbsp;']","['    6.6 ', '&nbsp;']"
5701,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    402,199 ', '&nbsp;']","['    51.8 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    11.9 ', '&nbsp;']","['    15.7 ', '&nbsp;']","['    13.4 ', '&nbsp;']","['    6.3 ', '&nbsp;']"
5701,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5701,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    119,497 ', '&nbsp;']","['    45.1 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    13.5 ', '&nbsp;']","['    17.8 ', '&nbsp;']","['    16.0 ', '&nbsp;']","['    6.6 ', '&nbsp;']"
5701,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    65,565 ', '&nbsp;']","['    37.6 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    15.0 ', '&nbsp;']","['    20.6 ', '&nbsp;']","['    17.8 ', '&nbsp;']","['    7.8 ', '&nbsp;']"
