table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total
794,r001,Total,Total,,,1,44824
794,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,17602
794,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,11557
794,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,6045
794,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,3484
794,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,2000
794,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,1484
794,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,23738
794,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,6258
794,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17480
